size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
middle,cnn,NT,Nerve_Tibial,1030,no,0.576,0.583,0.921,0.714
middle,rnn,NT,Nerve_Tibial,1030,no,0.591,0.587,0.974,0.733
large,mlp,NT,Nerve_Tibial,1030,no,0.454,0.454,1.0,0.624
large,cnn,NT,Nerve_Tibial,1030,no,0.454,0.454,1.0,0.624
large,rnn,NT,Nerve_Tibial,1030,no,0.454,0.454,1.0,0.624
small,mlp,NT,Esophagus_Mucosa,17,yes,0.558,0.5,0.053,0.095
small,cnn,NT,Esophagus_Mucosa,17,yes,0.488,0.44,0.579,0.5
small,rnn,NT,Esophagus_Mucosa,17,yes,0.488,0.421,0.421,0.421
middle,mlp,NT,Esophagus_Mucosa,17,yes,0.481,0.481,1.0,0.649
middle,cnn,NT,Esophagus_Mucosa,17,yes,0.462,0.469,0.92,0.622
middle,rnn,NT,Esophagus_Mucosa,17,yes,0.442,0.45,0.72,0.554
large,mlp,NT,Esophagus_Mucosa,17,yes,0.58,0.566,0.977,0.717
large,cnn,NT,Esophagus_Mucosa,17,yes,0.543,0.543,1.0,0.704
large,rnn,NT,Esophagus_Mucosa,17,yes,0.543,0.543,1.0,0.704
small,mlp,NT,Esophagus_Mucosa,510,yes,0.512,0.0,0.0,0.0
small,cnn,NT,Esophagus_Mucosa,510,yes,0.419,0.441,0.714,0.545
small,rnn,NT,Esophagus_Mucosa,510,yes,0.651,0.714,0.476,0.571
middle,mlp,NT,Esophagus_Mucosa,510,yes,0.481,0.5,0.259,0.341
middle,cnn,NT,Esophagus_Mucosa,510,yes,0.462,0.478,0.407,0.44
middle,rnn,NT,Esophagus_Mucosa,510,yes,0.442,0.45,0.333,0.383
large,mlp,NT,Esophagus_Mucosa,510,yes,0.654,0.654,1.0,0.791
large,cnn,NT,Esophagus_Mucosa,510,yes,0.654,0.654,1.0,0.791
large,rnn,NT,Esophagus_Mucosa,510,yes,0.654,0.654,1.0,0.791
small,mlp,NT,Esophagus_Mucosa,1030,yes,0.535,0.833,0.208,0.333
small,cnn,NT,Esophagus_Mucosa,1030,yes,0.535,0.833,0.208,0.333
small,rnn,NT,Esophagus_Mucosa,1030,yes,0.535,0.625,0.417,0.5
middle,mlp,NT,Esophagus_Mucosa,1030,yes,0.462,0.469,0.92,0.622
middle,cnn,NT,Esophagus_Mucosa,1030,yes,0.462,0.385,0.2,0.263
middle,rnn,NT,Esophagus_Mucosa,1030,yes,0.423,0.424,0.56,0.483
large,mlp,NT,Esophagus_Mucosa,1030,yes,0.481,0.493,0.878,0.632
large,cnn,NT,Esophagus_Mucosa,1030,yes,0.506,0.519,0.341,0.412
large,rnn,NT,Esophagus_Mucosa,1030,yes,0.506,0.6,0.073,0.13
small,mlp,NT,Heart_Left_Ventricle,17,yes,0.56,0.56,1.0,0.718
small,cnn,NT,Heart_Left_Ventricle,17,yes,0.56,0.56,1.0,0.718
small,rnn,NT,Heart_Left_Ventricle,17,yes,0.44,0.5,0.643,0.562
middle,mlp,NT,Heart_Left_Ventricle,17,yes,0.423,0.423,1.0,0.595
middle,cnn,NT,Heart_Left_Ventricle,17,yes,0.615,0.556,0.455,0.5
middle,rnn,NT,Heart_Left_Ventricle,17,yes,0.577,0.5,0.455,0.476
large,mlp,NT,Heart_Left_Ventricle,17,yes,0.409,0.414,0.571,0.48
large,cnn,NT,Heart_Left_Ventricle,17,yes,0.364,0.379,0.524,0.44
large,rnn,NT,Heart_Left_Ventricle,17,yes,0.432,0.447,0.81,0.576
small,mlp,NT,Heart_Left_Ventricle,510,yes,0.6,0.6,1.0,0.75
small,cnn,NT,Heart_Left_Ventricle,510,yes,0.6,0.667,0.667,0.667
small,rnn,NT,Heart_Left_Ventricle,510,yes,0.44,0.538,0.467,0.5
middle,mlp,NT,Heart_Left_Ventricle,510,yes,0.5,0.5,1.0,0.667
middle,cnn,NT,Heart_Left_Ventricle,510,yes,0.538,0.52,1.0,0.684
middle,rnn,NT,Heart_Left_Ventricle,510,yes,0.577,0.556,0.769,0.645
large,mlp,NT,Heart_Left_Ventricle,510,yes,0.636,0.636,1.0,0.778
large,cnn,NT,Heart_Left_Ventricle,510,yes,0.545,0.654,0.607,0.63
large,rnn,NT,Heart_Left_Ventricle,510,yes,0.477,0.619,0.464,0.531
small,mlp,NT,Heart_Left_Ventricle,1030,yes,0.8,0.8,1.0,0.889
small,cnn,NT,Heart_Left_Ventricle,1030,yes,0.56,0.8,0.6,0.686
small,rnn,NT,Heart_Left_Ventricle,1030,yes,0.56,0.846,0.55,0.667
middle,mlp,NT,Heart_Left_Ventricle,1030,yes,0.462,0.0,0.0,0.0
middle,cnn,NT,Heart_Left_Ventricle,1030,yes,0.5,0.533,0.571,0.552
middle,rnn,NT,Heart_Left_Ventricle,1030,yes,0.5,0.545,0.429,0.48
large,mlp,NT,Heart_Left_Ventricle,1030,yes,0.545,0.545,1.0,0.706
large,cnn,NT,Heart_Left_Ventricle,1030,yes,0.523,0.714,0.208,0.323
large,rnn,NT,Heart_Left_Ventricle,1030,yes,0.5,0.583,0.292,0.389
small,mlp,NT,Nerve_Tibial,17,yes,0.543,0.543,1.0,0.704
small,cnn,NT,Nerve_Tibial,17,yes,0.543,0.545,0.96,0.696
small,rnn,NT,Nerve_Tibial,17,yes,0.543,0.559,0.76,0.644
middle,mlp,NT,Nerve_Tibial,17,yes,0.574,0.574,1.0,0.729
middle,cnn,NT,Nerve_Tibial,17,yes,0.426,0.0,0.0,0.0
middle,rnn,NT,Nerve_Tibial,17,yes,0.588,0.657,0.59,0.622
large,mlp,NT,Nerve_Tibial,17,yes,0.487,0.4,0.578,0.473
large,cnn,NT,Nerve_Tibial,17,yes,0.451,0.407,0.822,0.544
large,rnn,NT,Nerve_Tibial,17,yes,0.381,0.379,0.867,0.527
small,mlp,NT,Nerve_Tibial,510,yes,0.543,0.543,1.0,0.704
small,cnn,NT,Nerve_Tibial,510,yes,0.522,0.537,0.88,0.667
small,rnn,NT,Nerve_Tibial,510,yes,0.587,0.579,0.88,0.698
middle,mlp,NT,Nerve_Tibial,510,yes,0.426,0.426,1.0,0.598
middle,cnn,NT,Nerve_Tibial,510,yes,0.559,0.455,0.172,0.25
middle,rnn,NT,Nerve_Tibial,510,yes,0.441,0.345,0.345,0.345
large,mlp,NT,Nerve_Tibial,510,yes,0.451,0.471,0.719,0.569
large,cnn,NT,Nerve_Tibial,510,yes,0.451,0.447,0.368,0.404
large,rnn,NT,Nerve_Tibial,510,yes,0.478,0.471,0.281,0.352
small,mlp,NT,Nerve_Tibial,1030,yes,0.522,0.522,1.0,0.686
small,cnn,NT,Nerve_Tibial,1030,yes,0.522,0.526,0.833,0.645
small,rnn,NT,Nerve_Tibial,1030,yes,0.565,0.562,0.75,0.643
middle,mlp,NT,Nerve_Tibial,1030,yes,0.456,0.453,0.935,0.611
middle,cnn,NT,Nerve_Tibial,1030,yes,0.485,0.457,0.677,0.545
middle,rnn,NT,Nerve_Tibial,1030,yes,0.456,0.45,0.871,0.593
large,mlp,NT,Nerve_Tibial,1030,yes,0.478,0.566,0.455,0.504
large,cnn,NT,Nerve_Tibial,1030,yes,0.602,0.6,0.955,0.737
large,rnn,NT,Nerve_Tibial,1030,yes,0.584,0.584,1.0,0.737
