size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,rnn,gpn,Heart_Left_Ventricle,17,yes,0.4,0.455,0.357,0.4
middle,mlp,gpn,Heart_Left_Ventricle,17,yes,0.462,0.462,1.0,0.632
middle,cnn,gpn,Heart_Left_Ventricle,17,yes,0.577,0.529,0.75,0.621
middle,rnn,gpn,Heart_Left_Ventricle,17,yes,0.692,0.75,0.5,0.6
large,mlp,gpn,Heart_Left_Ventricle,17,yes,0.5,0.5,1.0,0.667
large,cnn,gpn,Heart_Left_Ventricle,17,yes,0.523,0.533,0.364,0.432
large,rnn,gpn,Heart_Left_Ventricle,17,yes,0.5,0.5,0.273,0.353
small,mlp,gpn,Heart_Left_Ventricle,510,yes,0.6,0.6,1.0,0.75
small,cnn,gpn,Heart_Left_Ventricle,510,yes,0.36,0.455,0.333,0.385
small,rnn,gpn,Heart_Left_Ventricle,510,yes,0.68,0.733,0.733,0.733
middle,mlp,gpn,Heart_Left_Ventricle,510,yes,0.423,0.0,0.0,0.0
middle,cnn,gpn,Heart_Left_Ventricle,510,yes,0.538,0.8,0.267,0.4
middle,rnn,gpn,Heart_Left_Ventricle,510,yes,0.462,0.667,0.133,0.222
large,mlp,gpn,Heart_Left_Ventricle,510,yes,0.5,0.5,1.0,0.667
large,cnn,gpn,Heart_Left_Ventricle,510,yes,0.477,0.486,0.818,0.61
large,rnn,gpn,Heart_Left_Ventricle,510,yes,0.545,0.525,0.955,0.677
small,mlp,gpn,Heart_Left_Ventricle,1030,yes,0.8,0.8,1.0,0.889
small,cnn,gpn,Heart_Left_Ventricle,1030,yes,0.56,0.846,0.55,0.667
small,rnn,gpn,Heart_Left_Ventricle,1030,yes,0.64,0.867,0.65,0.743
middle,mlp,gpn,Heart_Left_Ventricle,1030,yes,0.346,0.0,0.0,0.0
middle,cnn,gpn,Heart_Left_Ventricle,1030,yes,0.654,0.654,1.0,0.791
