size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,rnn,onehot,Nerve_Tibial,1030,no,0.472,0.48,0.444,0.462
middle,mlp,onehot,Nerve_Tibial,1030,no,0.576,0.576,1,0.731
middle,cnn,onehot,Nerve_Tibial,1030,no,0.576,0.576,1,0.731
middle,rnn,onehot,Nerve_Tibial,1030,no,0.576,0.576,1,0.731
large,mlp,onehot,Nerve_Tibial,1030,no,0.454,0.454,1,0.624
large,cnn,onehot,Nerve_Tibial,1030,no,0.454,0.454,1,0.624
large,rnn,onehot,Nerve_Tibial,1030,no,0.454,0.454,1,0.624
small,mlp,onehot,Esophagus_Mucosa,17,yes,0.419,0.312,0.263,0.286
small,cnn,onehot,Esophagus_Mucosa,17,yes,0.395,0.4,0.737,0.519
small,rnn,onehot,Esophagus_Mucosa,17,yes,0.535,0.462,0.316,0.375
middle,mlp,onehot,Esophagus_Mucosa,17,yes,0.558,0.667,0.414,0.511
middle,cnn,onehot,Esophagus_Mucosa,17,yes,0.442,0,0,0
middle,rnn,onehot,Esophagus_Mucosa,17,yes,0.442,0,0,0
large,mlp,onehot,Esophagus_Mucosa,17,yes,0.531,0.532,0.953,0.683
large,cnn,onehot,Esophagus_Mucosa,17,yes,0.494,0.515,0.814,0.631
large,rnn,onehot,Esophagus_Mucosa,17,yes,0.556,0.548,0.93,0.69
small,mlp,onehot,Esophagus_Mucosa,510,yes,0.512,0.5,0.048,0.087
small,cnn,onehot,Esophagus_Mucosa,510,yes,0.512,0.5,0.476,0.488
small,rnn,onehot,Esophagus_Mucosa,510,yes,0.628,0.6,0.714,0.652
middle,mlp,onehot,Esophagus_Mucosa,510,yes,0.5,0.5,1,0.667
middle,cnn,onehot,Esophagus_Mucosa,510,yes,0.462,0.444,0.308,0.364
middle,rnn,onehot,Esophagus_Mucosa,510,yes,0.481,0,0,0
large,mlp,onehot,Esophagus_Mucosa,510,yes,0.531,0.531,1,0.694
large,cnn,onehot,Esophagus_Mucosa,510,yes,0.457,0.485,0.372,0.421
large,rnn,onehot,Esophagus_Mucosa,510,yes,0.457,0.492,0.744,0.593
small,mlp,onehot,Esophagus_Mucosa,1030,yes,0.442,0,0,0
small,cnn,onehot,Esophagus_Mucosa,1030,yes,0.558,0.632,0.5,0.558
small,rnn,onehot,Esophagus_Mucosa,1030,yes,0.581,0.65,0.542,0.591
middle,mlp,onehot,Esophagus_Mucosa,1030,yes,0.538,0.538,1,0.7
middle,cnn,onehot,Esophagus_Mucosa,1030,yes,0.519,0.667,0.214,0.324
middle,rnn,onehot,Esophagus_Mucosa,1030,yes,0.615,0.591,0.929,0.722
large,mlp,onehot,Esophagus_Mucosa,1030,yes,0.494,0.494,1,0.661
large,cnn,onehot,Esophagus_Mucosa,1030,yes,0.506,0,0,0
