size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
middle,knn,onehot,Esophagus_Mucosa,510,yes,0.718,-0.01,0.024
middle,svm,onehot,Esophagus_Mucosa,510,yes,0.643,0.182,0.442
large,xgboost,onehot,Esophagus_Mucosa,510,yes,0.725,0.083,0.414
large,lightgbm,onehot,Esophagus_Mucosa,510,yes,0.646,0.271,0.532
large,random forest,onehot,Esophagus_Mucosa,510,yes,0.644,0.212,0.469
large,knn,onehot,Esophagus_Mucosa,510,yes,0.728,-0.0,0.01
large,svm,onehot,Esophagus_Mucosa,510,yes,0.673,0.141,0.426
small,xgboost,onehot,Esophagus_Mucosa,1030,yes,0.723,-0.07,0.293
small,lightgbm,onehot,Esophagus_Mucosa,1030,yes,0.743,-0.13,0.151
small,random forest,onehot,Esophagus_Mucosa,1030,yes,0.686,0.034,0.249
small,knn,onehot,Esophagus_Mucosa,1030,yes,0.692,0.016,0.152
small,svm,onehot,Esophagus_Mucosa,1030,yes,0.678,0.057,0.305
middle,xgboost,onehot,Esophagus_Mucosa,1030,yes,0.789,-0.05,0.213
middle,lightgbm,onehot,Esophagus_Mucosa,1030,yes,0.761,0.017,0.264
middle,random forest,onehot,Esophagus_Mucosa,1030,yes,0.711,0.144,0.386
middle,knn,onehot,Esophagus_Mucosa,1030,yes,0.776,-0.01,0.0
middle,svm,onehot,Esophagus_Mucosa,1030,yes,0.716,0.132,0.364
large,xgboost,onehot,Esophagus_Mucosa,1030,yes,0.747,0.015,0.393
large,lightgbm,onehot,Esophagus_Mucosa,1030,yes,0.698,0.14,0.446
large,random forest,onehot,Esophagus_Mucosa,1030,yes,0.786,0.089,0.313
large,knn,onehot,Esophagus_Mucosa,1030,yes,0.818,0.012,0.202
large,svm,onehot,Esophagus_Mucosa,1030,yes,0.756,0.156,0.409
small,xgboost,onehot,Heart_Left_Ventricle,17,no,0.717,-0.28,-0.05
small,lightgbm,onehot,Heart_Left_Ventricle,17,no,0.745,-0.38,-0.34
small,random forest,onehot,Heart_Left_Ventricle,17,no,0.648,-0.04,-0.07
small,knn,onehot,Heart_Left_Ventricle,17,no,0.646,-0.04,-0.27
small,svm,onehot,Heart_Left_Ventricle,17,no,0.634,-0.0,-0.05
middle,xgboost,onehot,Heart_Left_Ventricle,17,no,0.901,-0.35,-0.33
middle,lightgbm,onehot,Heart_Left_Ventricle,17,no,0.859,-0.23,-0.13
middle,random forest,onehot,Heart_Left_Ventricle,17,no,0.777,-0.01,0.132
middle,knn,onehot,Heart_Left_Ventricle,17,no,0.787,-0.03,-0.1
middle,svm,onehot,Heart_Left_Ventricle,17,no,0.78,-0.01,0.193
large,xgboost,onehot,Heart_Left_Ventricle,17,no,0.626,-0.12,0.204
large,lightgbm,onehot,Heart_Left_Ventricle,17,no,0.655,-0.23,0.007
large,random forest,onehot,Heart_Left_Ventricle,17,no,0.61,-0.07,0.134
large,knn,onehot,Heart_Left_Ventricle,17,no,0.63,-0.14,0.082
large,svm,onehot,Heart_Left_Ventricle,17,no,0.612,-0.08,0.0
small,xgboost,onehot,Heart_Left_Ventricle,510,no,0.847,-0.78,-0.48
small,lightgbm,onehot,Heart_Left_Ventricle,510,no,0.712,-0.26,-0.3
