size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
middle,knn,gpn,Esophagus_Mucosa,510,yes,0.709,0.008,0.176
middle,svm,gpn,Esophagus_Mucosa,510,yes,0.644,0.183,0.443
large,xgboost,gpn,Esophagus_Mucosa,510,yes,0.703,0.193,0.514
large,lightgbm,gpn,Esophagus_Mucosa,510,yes,0.716,0.167,0.477
large,random forest,gpn,Esophagus_Mucosa,510,yes,0.691,0.223,0.474
large,knn,gpn,Esophagus_Mucosa,510,yes,0.802,-0.045,-0.145
large,svm,gpn,Esophagus_Mucosa,510,yes,0.686,0.235,0.524
small,xgboost,gpn,Esophagus_Mucosa,1030,yes,0.749,-0.151,0.22
small,lightgbm,gpn,Esophagus_Mucosa,1030,yes,0.739,-0.118,0.213
small,random forest,gpn,Esophagus_Mucosa,1030,yes,0.723,-0.071,0.132
small,knn,gpn,Esophagus_Mucosa,1030,yes,0.707,-0.024,0.046
small,svm,gpn,Esophagus_Mucosa,1030,yes,0.67,0.08,0.328
middle,xgboost,gpn,Esophagus_Mucosa,1030,yes,0.668,0.191,0.465
middle,lightgbm,gpn,Esophagus_Mucosa,1030,yes,0.701,0.108,0.38
middle,random forest,gpn,Esophagus_Mucosa,1030,yes,0.684,0.15,0.389
middle,knn,gpn,Esophagus_Mucosa,1030,yes,0.747,-0.014,-0.084
middle,svm,gpn,Esophagus_Mucosa,1030,yes,0.656,0.218,0.469
large,xgboost,gpn,Esophagus_Mucosa,1030,yes,0.683,0.201,0.502
large,lightgbm,gpn,Esophagus_Mucosa,1030,yes,0.644,0.291,0.549
large,random forest,gpn,Esophagus_Mucosa,1030,yes,0.645,0.289,0.566
large,knn,gpn,Esophagus_Mucosa,1030,yes,0.768,-0.009,0.093
large,svm,gpn,Esophagus_Mucosa,1030,yes,0.642,0.296,0.549
small,xgboost,gpn,Heart_Left_Ventricle,17,no,0.662,-0.092,-0.09
small,lightgbm,gpn,Heart_Left_Ventricle,17,no,0.817,-0.663,-0.473
small,random forest,gpn,Heart_Left_Ventricle,17,no,0.706,-0.24,-0.33
small,knn,gpn,Heart_Left_Ventricle,17,no,0.634,0.001,0.036
small,svm,gpn,Heart_Left_Ventricle,17,no,0.645,-0.035,-0.175
middle,xgboost,gpn,Heart_Left_Ventricle,17,no,0.862,-0.42,-0.108
middle,lightgbm,gpn,Heart_Left_Ventricle,17,no,0.73,0.108,0.334
middle,random forest,gpn,Heart_Left_Ventricle,17,no,0.775,-0.004,0.133
middle,knn,gpn,Heart_Left_Ventricle,17,no,0.788,-0.039,-0.052
middle,svm,gpn,Heart_Left_Ventricle,17,no,0.79,-0.044,0.09
large,xgboost,gpn,Heart_Left_Ventricle,17,no,0.777,-0.74,-0.028
large,lightgbm,gpn,Heart_Left_Ventricle,17,no,0.769,-0.706,-0.083
large,random forest,gpn,Heart_Left_Ventricle,17,no,0.65,-0.216,0.096
large,knn,gpn,Heart_Left_Ventricle,17,no,0.597,-0.026,0.317
large,svm,gpn,Heart_Left_Ventricle,17,no,0.656,-0.239,-0.264
small,xgboost,gpn,Heart_Left_Ventricle,510,no,0.75,-0.4,-0.111
small,lightgbm,gpn,Heart_Left_Ventricle,510,no,0.817,-0.663,-0.473
small,random forest,gpn,Heart_Left_Ventricle,510,no,0.682,-0.157,-0.291
small,knn,gpn,Heart_Left_Ventricle,510,no,0.63,0.011,0.178
small,svm,gpn,Heart_Left_Ventricle,510,no,0.647,-0.043,-0.212
middle,xgboost,gpn,Heart_Left_Ventricle,510,no,0.859,-0.233,-0.095
middle,lightgbm,gpn,Heart_Left_Ventricle,510,no,0.73,0.108,0.334
middle,random forest,gpn,Heart_Left_Ventricle,510,no,0.754,0.05,0.232
middle,knn,gpn,Heart_Left_Ventricle,510,no,0.788,-0.039,-0.052
middle,svm,gpn,Heart_Left_Ventricle,510,no,0.79,-0.044,0.09
large,xgboost,gpn,Heart_Left_Ventricle,510,no,0.705,-0.431,-0.029
large,lightgbm,gpn,Heart_Left_Ventricle,510,no,0.786,-0.781,-0.129
large,random forest,gpn,Heart_Left_Ventricle,510,no,0.702,-0.422,-0.138
large,knn,gpn,Heart_Left_Ventricle,510,no,0.597,-0.026,0.317
large,svm,gpn,Heart_Left_Ventricle,510,no,0.651,-0.222,-0.234
small,xgboost,gpn,Heart_Left_Ventricle,1030,no,0.755,-0.419,-0.235
small,lightgbm,gpn,Heart_Left_Ventricle,1030,no,0.81,-0.633,-0.446
small,random forest,gpn,Heart_Left_Ventricle,1030,no,0.688,-0.179,-0.211
small,knn,gpn,Heart_Left_Ventricle,1030,no,0.63,0.011,0.178
small,svm,gpn,Heart_Left_Ventricle,1030,no,0.647,-0.043,0.212
middle,xgboost,gpn,Heart_Left_Ventricle,1030,no,0.862,-0.242,-0.108
middle,lightgbm,gpn,Heart_Left_Ventricle,1030,no,0.73,0.108,0.334
middle,random forest,gpn,Heart_Left_Ventricle,1030,no,0.75,0.058,0.243
middle,knn,gpn,Heart_Left_Ventricle,1030,no,0.788,-0.039,-0.052
