size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,rnn,gpn,Nerve_Tibial,1030,no,0.779,0.213,0.049,0.726
middle,mlp,gpn,Nerve_Tibial,1030,no,0.83,0.082,0.033,0.795
middle,cnn,gpn,Nerve_Tibial,1030,no,0.821,0.06,0.057,0.648
middle,rnn,gpn,Nerve_Tibial,1030,no,0.851,0.138,0.201,0.105
large,mlp,gpn,Nerve_Tibial,1030,no,0.717,0.031,0.055,0.59
large,cnn,gpn,Nerve_Tibial,1030,no,0.743,0.107,0.17,0.096
large,rnn,gpn,Nerve_Tibial,1030,no,0.71,-0.01,0.157,0.124
small,mlp,gpn,Esophagus_Mucosa,17,yes,0.751,0.097,0.007,0.967
small,cnn,gpn,Esophagus_Mucosa,17,yes,0.85,0.404,0.199,0.201
small,rnn,gpn,Esophagus_Mucosa,17,yes,0.758,0.117,0.16,0.304
middle,mlp,gpn,Esophagus_Mucosa,17,yes,0.833,0.148,0.044,0.757
middle,cnn,gpn,Esophagus_Mucosa,17,yes,0.782,0.014,0.012,0.931
middle,rnn,gpn,Esophagus_Mucosa,17,yes,0.749,0.071,0.304,0.029
large,mlp,gpn,Esophagus_Mucosa,17,yes,0.783,0.11,0.087,0.441
large,cnn,gpn,Esophagus_Mucosa,17,yes,0.794,0.143,0.036,0.75
large,rnn,gpn,Esophagus_Mucosa,17,yes,0.773,-0.139,-0.218,0.051
small,mlp,gpn,Esophagus_Mucosa,510,yes,0.755,0.008,0.059,0.709
small,cnn,gpn,Esophagus_Mucosa,510,yes,0.74,0.034,0.188,0.227
small,rnn,gpn,Esophagus_Mucosa,510,yes,0.801,0.134,0.059,0.708
middle,mlp,gpn,Esophagus_Mucosa,510,yes,0.812,0.147,0.037,0.795
middle,cnn,gpn,Esophagus_Mucosa,510,yes,0.782,0.064,0.026,0.852
middle,rnn,gpn,Esophagus_Mucosa,510,yes,0.841,0.228,0.076,0.594
large,mlp,gpn,Esophagus_Mucosa,510,yes,0.807,0.021,0.089,0.43
large,cnn,gpn,Esophagus_Mucosa,510,yes,0.805,0.016,0.023,0.84
large,rnn,gpn,Esophagus_Mucosa,510,yes,0.715,0.03,0.191,0.088
small,mlp,gpn,Esophagus_Mucosa,1030,yes,0.691,0.022,0.299,0.052
small,cnn,gpn,Esophagus_Mucosa,1030,yes,0.736,0.11,0.139,0.375
small,rnn,gpn,Esophagus_Mucosa,1030,yes,0.713,0.041,0.183,0.241
middle,mlp,gpn,Esophagus_Mucosa,1030,yes,0.719,0.05,0.176,0.211
middle,cnn,gpn,Esophagus_Mucosa,1030,yes,0.719,0.052,0.033,0.819
middle,rnn,gpn,Esophagus_Mucosa,1030,yes,0.714,0.036,0.092,0.514
large,mlp,gpn,Esophagus_Mucosa,1030,yes,0.828,0.01,0.127,0.258
large,cnn,gpn,Esophagus_Mucosa,1030,yes,0.866,0.082,0.054,0.632
large,rnn,gpn,Esophagus_Mucosa,1030,yes,0.847,-0.058,-0.027,0.809
small,mlp,gpn,Heart_Left_Ventricle,17,yes,1.223,0.587,0.053,0.803
small,cnn,gpn,Heart_Left_Ventricle,17,yes,0.988,0.036,0.112,0.595
small,rnn,gpn,Heart_Left_Ventricle,17,yes,1.185,0.491,0.387,0.056
middle,mlp,gpn,Heart_Left_Ventricle,17,yes,0.772,0.202,0.352,0.078
middle,cnn,gpn,Heart_Left_Ventricle,17,yes,0.924,0.721,0.127,0.536
middle,rnn,gpn,Heart_Left_Ventricle,17,yes,0.93,0.743,0.21,0.304
large,mlp,gpn,Heart_Left_Ventricle,17,yes,0.85,0.027,0.035,0.823
large,cnn,gpn,Heart_Left_Ventricle,17,yes,0.849,0.025,0.045,0.773
large,rnn,gpn,Heart_Left_Ventricle,17,yes,0.822,-0.04,0.158,0.306
small,mlp,gpn,Heart_Left_Ventricle,510,yes,0.687,0.067,0.221,0.289
small,cnn,gpn,Heart_Left_Ventricle,510,yes,0.839,0.59,0.282,0.171
small,rnn,gpn,Heart_Left_Ventricle,510,yes,0.729,0.202,0.18,0.389
middle,mlp,gpn,Heart_Left_Ventricle,510,yes,0.661,0.157,0.107,0.604
middle,cnn,gpn,Heart_Left_Ventricle,510,yes,0.629,0.049,0.247,0.225
middle,rnn,gpn,Heart_Left_Ventricle,510,yes,0.648,0.114,0.29,0.151
large,mlp,gpn,Heart_Left_Ventricle,510,yes,0.828,0.089,0.067,0.665
large,cnn,gpn,Heart_Left_Ventricle,510,yes,0.774,0.047,0.284,0.062
large,rnn,gpn,Heart_Left_Ventricle,510,yes,0.737,0.03,0.178,0.247
small,mlp,gpn,Heart_Left_Ventricle,1030,yes,0.889,0.331,0.13,0.537
small,cnn,gpn,Heart_Left_Ventricle,1030,yes,0.883,0.314,0.038,0.856
small,rnn,gpn,Heart_Left_Ventricle,1030,yes,0.91,0.395,0.22,0.291
middle,mlp,gpn,Heart_Left_Ventricle,1030,yes,0.834,0.05,0.03,0.885
middle,cnn,gpn,Heart_Left_Ventricle,1030,yes,0.853,0.1,0.148,0.471
middle,rnn,gpn,Heart_Left_Ventricle,1030,yes,0.874,0.154,0.111,0.591
large,mlp,gpn,Heart_Left_Ventricle,1030,yes,0.746,0.008,0.215,0.162
large,cnn,gpn,Heart_Left_Ventricle,1030,yes,0.736,0.035,0.194,0.206
large,rnn,gpn,Heart_Left_Ventricle,1030,yes,0.818,-0.045,-0.021,0.894
small,mlp,gpn,Nerve_Tibial,17,yes,0.912,0.165,0.066,0.661
small,cnn,gpn,Nerve_Tibial,17,yes,0.881,0.085,0.015,0.919
small,rnn,gpn,Nerve_Tibial,17,yes,0.976,0.332,0.02,0.895
middle,mlp,gpn,Nerve_Tibial,17,yes,0.691,0.001,0.236,0.053
middle,cnn,gpn,Nerve_Tibial,17,yes,0.698,0.018,0.125,0.311
middle,rnn,gpn,Nerve_Tibial,17,yes,0.745,0.159,0.175,0.154
large,mlp,gpn,Nerve_Tibial,17,yes,0.777,0.049,0.212,0.024
large,cnn,gpn,Nerve_Tibial,17,yes,0.762,0.009,0.227,0.015
large,rnn,gpn,Nerve_Tibial,17,yes,0.783,0.056,0.254,0.007
small,mlp,gpn,Nerve_Tibial,510,yes,0.862,0.009,0.224,0.135
small,cnn,gpn,Nerve_Tibial,510,yes,0.856,0.005,0.1,0.507
small,rnn,gpn,Nerve_Tibial,510,yes,0.816,0.095,0.365,0.013
middle,mlp,gpn,Nerve_Tibial,510,yes,0.729,0.002,0.082,0.507
middle,cnn,gpn,Nerve_Tibial,510,yes,0.755,0.073,0.118,0.34
middle,rnn,gpn,Nerve_Tibial,510,yes,0.778,0.139,0.029,0.812
large,mlp,gpn,Nerve_Tibial,510,yes,0.766,0.016,0.062,0.514
large,cnn,gpn,Nerve_Tibial,510,yes,0.777,0.046,0.064,0.499
large,rnn,gpn,Nerve_Tibial,510,yes,0.76,0.031,0.18,0.056
small,mlp,gpn,Nerve_Tibial,1030,yes,0.752,0.227,0.228,0.128
small,cnn,gpn,Nerve_Tibial,1030,yes,0.696,0.051,0.169,0.262
small,rnn,gpn,Nerve_Tibial,1030,yes,0.691,0.037,0.093,0.537
middle,mlp,gpn,Nerve_Tibial,1030,yes,0.753,0.095,0.155,0.208
middle,cnn,gpn,Nerve_Tibial,1030,yes,0.752,0.093,0.055,0.654
middle,rnn,gpn,Nerve_Tibial,1030,yes,0.752,0.092,0.021,0.865
large,mlp,gpn,Nerve_Tibial,1030,yes,0.758,0.004,0.111,0.243
large,cnn,gpn,Nerve_Tibial,1030,yes,0.754,0.016,0.16,0.09
large,rnn,gpn,Nerve_Tibial,1030,yes,0.798,-0.078,-0.102,0.284
