size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,rnn,enformer,Nerve_Tibial,1030,no,25.2,1266.66,0.183,0.19
middle,mlp,enformer,Nerve_Tibial,1030,no,27.276,1168.745,0.162,0.194
middle,cnn,enformer,Nerve_Tibial,1030,no,4.209,26.852,0.051,0.687
middle,rnn,enformer,Nerve_Tibial,1030,no,2.49,8.752,0.197,0.113
large,mlp,enformer,Nerve_Tibial,1030,no,6.72,89.535,0.118,0.249
large,cnn,enformer,Nerve_Tibial,1030,no,2.418,10.721,0.094,0.361
large,rnn,enformer,Nerve_Tibial,1030,no,12.564,315.443,0.138,0.179
small,mlp,enformer,Esophagus_Mucosa,17,yes,31.462,1799.7,0.021,0.896
small,cnn,enformer,Esophagus_Mucosa,17,yes,3.19,17.506,0.17,0.276
small,rnn,enformer,Esophagus_Mucosa,17,yes,26.489,1275.472,0.003,0.986
middle,mlp,enformer,Esophagus_Mucosa,17,yes,10.569,236.554,0.028,0.842
middle,cnn,enformer,Esophagus_Mucosa,17,yes,6.084,77.719,0.03,0.835
middle,rnn,enformer,Esophagus_Mucosa,17,yes,1.626,4.621,0.107,0.449
large,mlp,enformer,Esophagus_Mucosa,17,yes,6.575,62.307,0.076,0.502
large,cnn,enformer,Esophagus_Mucosa,17,yes,2.424,7.604,0.072,0.526
large,rnn,enformer,Esophagus_Mucosa,17,yes,2.319,6.877,0.23,0.04
small,mlp,enformer,Esophagus_Mucosa,510,yes,18.863,635.769,0.031,0.842
small,cnn,enformer,Esophagus_Mucosa,510,yes,6.879,83.687,0.016,0.92
small,rnn,enformer,Esophagus_Mucosa,510,yes,1.161,1.411,0.041,0.792
middle,mlp,enformer,Esophagus_Mucosa,510,yes,10.669,238.823,0.125,0.377
middle,cnn,enformer,Esophagus_Mucosa,510,yes,4.424,40.237,0.001,0.993
middle,rnn,enformer,Esophagus_Mucosa,510,yes,2.572,12.939,0.133,0.348
large,mlp,enformer,Esophagus_Mucosa,510,yes,8.029,110.103,0.067,0.553
large,cnn,enformer,Esophagus_Mucosa,510,yes,3.467,19.722,0.091,0.424
large,rnn,enformer,Esophagus_Mucosa,510,yes,1.602,3.421,0.166,0.142
small,mlp,enformer,Esophagus_Mucosa,1030,yes,33.853,2582.657,0.05,0.75
small,cnn,enformer,Esophagus_Mucosa,1030,yes,6.576,96.486,0.166,0.287
small,rnn,enformer,Esophagus_Mucosa,1030,yes,34.89,2743.4,0.002,0.988
middle,mlp,enformer,Esophagus_Mucosa,1030,yes,11.911,299.055,0.077,0.589
middle,cnn,enformer,Esophagus_Mucosa,1030,yes,6.312,83.26,0.088,0.534
middle,rnn,enformer,Esophagus_Mucosa,1030,yes,9.685,197.4,0.167,0.235
large,mlp,enformer,Esophagus_Mucosa,1030,yes,6.394,58.665,0.074,0.515
large,cnn,enformer,Esophagus_Mucosa,1030,yes,2.344,7.018,0.181,0.109
large,rnn,enformer,Esophagus_Mucosa,1030,yes,52.331,3995.091,0.123,0.277
small,mlp,enformer,Heart_Left_Ventricle,17,yes,24.26,636.048,0.151,0.482
small,cnn,enformer,Heart_Left_Ventricle,17,yes,7.353,57.518,0.104,0.629
small,rnn,enformer,Heart_Left_Ventricle,17,yes,48.837,2580.628,0.092,0.667
middle,mlp,enformer,Heart_Left_Ventricle,17,yes,15.119,512.183,0.173,0.407
middle,cnn,enformer,Heart_Left_Ventricle,17,yes,8.789,172.403,0.212,0.31
middle,rnn,enformer,Heart_Left_Ventricle,17,yes,28.114,1773.401,0.063,0.764
large,mlp,enformer,Heart_Left_Ventricle,17,yes,10.153,196.884,0.111,0.477
large,cnn,enformer,Heart_Left_Ventricle,17,yes,4.839,43.947,0.144,0.357
large,rnn,enformer,Heart_Left_Ventricle,17,yes,1.074,1.214,0.259,0.093
small,mlp,enformer,Heart_Left_Ventricle,510,yes,38.631,2766.579,0.205,0.336
small,cnn,enformer,Heart_Left_Ventricle,510,yes,14.937,412.787,0.291,0.168
small,rnn,enformer,Heart_Left_Ventricle,510,yes,30.748,1752.366,0.024,0.913
middle,mlp,enformer,Heart_Left_Ventricle,510,yes,35.15,2730.782,0.032,0.88
middle,cnn,enformer,Heart_Left_Ventricle,510,yes,16.789,622.243,0.559,0.004
middle,rnn,enformer,Heart_Left_Ventricle,510,yes,17.536,678.928,0.141,0.502
large,mlp,enformer,Heart_Left_Ventricle,510,yes,28.944,1271.773,0.031,0.843
large,cnn,enformer,Heart_Left_Ventricle,510,yes,8.325,104.298,0.282,0.067
large,rnn,enformer,Heart_Left_Ventricle,510,yes,39.526,2372.487,0.26,0.092
small,mlp,enformer,Heart_Left_Ventricle,1030,yes,13.697,281.213,0.005,0.983
small,cnn,enformer,Heart_Left_Ventricle,1030,yes,12.002,215.682,0.093,0.666
small,rnn,enformer,Heart_Left_Ventricle,1030,yes,30.361,1385.726,0.01,0.962
middle,mlp,enformer,Heart_Left_Ventricle,1030,yes,28.468,1564.055,0.16,0.445
middle,cnn,enformer,Heart_Left_Ventricle,1030,yes,14.407,399.832,0.14,0.504
middle,rnn,enformer,Heart_Left_Ventricle,1030,yes,29.763,1709.695,0.23,0.268
large,mlp,enformer,Heart_Left_Ventricle,1030,yes,20.397,591.464,0.029,0.854
large,cnn,enformer,Heart_Left_Ventricle,1030,yes,4.206,24.195,0.128,0.413
large,rnn,enformer,Heart_Left_Ventricle,1030,yes,6.24,54.456,0.142,0.364
small,mlp,enformer,Nerve_Tibial,17,yes,22.292,599.6,0.066,0.664
small,cnn,enformer,Nerve_Tibial,17,yes,3.375,12.763,0.295,0.047
small,rnn,enformer,Nerve_Tibial,17,yes,26.058,819.636,0.001,0.995
middle,mlp,enformer,Nerve_Tibial,17,yes,12.257,331.703,0.146,0.239
middle,cnn,enformer,Nerve_Tibial,17,yes,4.762,49.228,0.037,0.763
middle,rnn,enformer,Nerve_Tibial,17,yes,7.636,128.113,0.026,0.837
large,mlp,enformer,Nerve_Tibial,17,yes,4.235,23.569,0.045,0.637
large,cnn,enformer,Nerve_Tibial,17,yes,5.497,40.393,0.008,0.931
large,rnn,enformer,Nerve_Tibial,17,yes,1.212,1.012,0.088,0.354
small,mlp,enformer,Nerve_Tibial,510,yes,10.22,196.833,0.174,0.247
small,cnn,enformer,Nerve_Tibial,510,yes,6.564,80.591,0.022,0.886
small,rnn,enformer,Nerve_Tibial,510,yes,38.806,2851.021,0.162,0.283
middle,mlp,enformer,Nerve_Tibial,510,yes,14.275,338.645,0.114,0.358
middle,cnn,enformer,Nerve_Tibial,510,yes,5.145,43.12,0.145,0.242
middle,rnn,enformer,Nerve_Tibial,510,yes,1.224,1.496,0.019,0.878
large,mlp,enformer,Nerve_Tibial,510,yes,10.571,161.18,0.042,0.659
large,cnn,enformer,Nerve_Tibial,510,yes,2.619,8.952,0.028,0.766
large,rnn,enformer,Nerve_Tibial,510,yes,1.241,1.237,0.089,0.352
small,mlp,enformer,Nerve_Tibial,1030,yes,18.966,632.665,0.126,0.403
small,cnn,enformer,Nerve_Tibial,1030,yes,6.282,68.52,0.017,0.913
small,rnn,enformer,Nerve_Tibial,1030,yes,1.127,1.239,0.006,0.97
middle,mlp,enformer,Nerve_Tibial,1030,yes,15.747,450.405,0.197,0.11
middle,cnn,enformer,Nerve_Tibial,1030,yes,3.703,23.963,0.037,0.767
middle,rnn,enformer,Nerve_Tibial,1030,yes,2.066,6.767,0.079,0.524
large,mlp,enformer,Nerve_Tibial,1030,yes,10.056,166.382,0.136,0.152
large,cnn,enformer,Nerve_Tibial,1030,yes,3.513,19.429,0.061,0.525
large,rnn,enformer,Nerve_Tibial,1030,yes,24.101,960.554,0.11,0.248
