size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
middle,knn,hyena,Esophagus_Mucosa,510,yes,0.705,0.019,0.19
middle,svm,hyena,Esophagus_Mucosa,510,yes,0.639,0.193,0.452
large,xgboost,hyena,Esophagus_Mucosa,510,yes,0.71,0.007,0.446
large,lightgbm,hyena,Esophagus_Mucosa,510,yes,0.678,0.094,0.517
large,random forest,hyena,Esophagus_Mucosa,510,yes,0.652,0.163,0.486
large,knn,hyena,Esophagus_Mucosa,510,yes,0.735,-0.065,-0.058
large,svm,hyena,Esophagus_Mucosa,510,yes,0.642,0.187,0.521
small,xgboost,hyena,Esophagus_Mucosa,1030,yes,0.712,-0.04,0.309
small,lightgbm,hyena,Esophagus_Mucosa,1030,yes,0.677,0.06,0.371
small,random forest,hyena,Esophagus_Mucosa,1030,yes,0.678,0.057,0.329
small,knn,hyena,Esophagus_Mucosa,1030,yes,0.702,-0.009,0.051
small,svm,hyena,Esophagus_Mucosa,1030,yes,0.672,0.074,0.329
middle,xgboost,hyena,Esophagus_Mucosa,1030,yes,0.671,-0.042,0.296
middle,lightgbm,hyena,Esophagus_Mucosa,1030,yes,0.662,-0.013,0.28
middle,random forest,hyena,Esophagus_Mucosa,1030,yes,0.622,0.104,0.337
middle,knn,hyena,Esophagus_Mucosa,1030,yes,0.653,0.011,0.118
middle,svm,hyena,Esophagus_Mucosa,1030,yes,0.6,0.166,0.416
large,xgboost,hyena,Esophagus_Mucosa,1030,yes,0.722,0.141,0.441
large,lightgbm,hyena,Esophagus_Mucosa,1030,yes,0.699,0.197,0.462
large,random forest,hyena,Esophagus_Mucosa,1030,yes,0.702,0.189,0.436
large,knn,hyena,Esophagus_Mucosa,1030,yes,0.774,0.013,0.161
large,svm,hyena,Esophagus_Mucosa,1030,yes,0.698,0.198,0.445
small,xgboost,hyena,Heart_Left_Ventricle,17,no,0.777,-0.502,-0.072
small,lightgbm,hyena,Heart_Left_Ventricle,17,no,0.703,-0.231,0.076
small,random forest,hyena,Heart_Left_Ventricle,17,no,0.67,-0.119,0.035
small,knn,hyena,Heart_Left_Ventricle,17,no,0.632,0.006,0.111
small,svm,hyena,Heart_Left_Ventricle,17,no,0.651,-0.055,-0.289
middle,xgboost,hyena,Heart_Left_Ventricle,17,no,0.937,-0.468,-0.143
middle,lightgbm,hyena,Heart_Left_Ventricle,17,no,0.82,-0.124,-0.047
middle,random forest,hyena,Heart_Left_Ventricle,17,no,0.807,-0.09,0.086
middle,knn,hyena,Heart_Left_Ventricle,17,no,0.776,-0.008,0.36
middle,svm,hyena,Heart_Left_Ventricle,17,no,0.803,-0.079,0.152
large,xgboost,hyena,Heart_Left_Ventricle,17,no,0.658,-0.248,0.104
large,lightgbm,hyena,Heart_Left_Ventricle,17,no,0.7,-0.4,-0.01
large,random forest,hyena,Heart_Left_Ventricle,17,no,0.678,-0.325,-0.125
large,knn,hyena,Heart_Left_Ventricle,17,no,0.649,-0.214,-0.288
large,svm,hyena,Heart_Left_Ventricle,17,no,0.646,-0.203,-0.094
small,xgboost,hyena,Heart_Left_Ventricle,510,no,0.841,-0.76,-0.17
small,lightgbm,hyena,Heart_Left_Ventricle,510,no,0.703,-0.23,0.076
small,random forest,hyena,Heart_Left_Ventricle,510,no,0.701,-0.224,-0.072
small,knn,hyena,Heart_Left_Ventricle,510,no,0.632,0.006,0.111
small,svm,hyena,Heart_Left_Ventricle,510,no,0.634,-0.001,-0.43
middle,xgboost,hyena,Heart_Left_Ventricle,510,no,0.883,-0.303,-0.104
middle,lightgbm,hyena,Heart_Left_Ventricle,510,no,0.917,-0.407,-0.08
middle,random forest,hyena,Heart_Left_Ventricle,510,no,0.802,-0.076,0.102
middle,knn,hyena,Heart_Left_Ventricle,510,no,0.776,-0.008,0.36
middle,svm,hyena,Heart_Left_Ventricle,510,no,0.802,-0.076,0.127
large,xgboost,hyena,Heart_Left_Ventricle,510,no,0.658,-0.248,0.104
large,lightgbm,hyena,Heart_Left_Ventricle,510,no,0.697,-0.4,-0.01
large,random forest,hyena,Heart_Left_Ventricle,510,no,0.665,-0.276,-0.089
large,knn,hyena,Heart_Left_Ventricle,510,no,0.649,-0.214,-0.287
large,svm,hyena,Heart_Left_Ventricle,510,no,0.646,-0.2,-0.09
small,xgboost,hyena,Heart_Left_Ventricle,1030,no,0.816,-0.655,0.061
small,lightgbm,hyena,Heart_Left_Ventricle,1030,no,0.676,-0.138,0.141
small,random forest,hyena,Heart_Left_Ventricle,1030,no,0.675,-0.135,-0.018
small,knn,hyena,Heart_Left_Ventricle,1030,no,0.632,0.006,0.111
small,svm,hyena,Heart_Left_Ventricle,1030,no,0.652,-0.057,-0.298
middle,xgboost,hyena,Heart_Left_Ventricle,1030,no,0.937,-0.468,-0.143
middle,lightgbm,hyena,Heart_Left_Ventricle,1030,no,0.911,-0.389,-0.09
middle,random forest,hyena,Heart_Left_Ventricle,1030,no,0.84,-0.181,0.038
middle,knn,hyena,Heart_Left_Ventricle,1030,no,0.776,-0.008,0.36
middle,svm,hyena,Heart_Left_Ventricle,1030,no,0.802,-0.076,0.127
large,xgboost,hyena,Heart_Left_Ventricle,1030,no,0.657,-0.244,0.134
large,lightgbm,hyena,Heart_Left_Ventricle,1030,no,0.689,-0.367,0.002
large,random forest,hyena,Heart_Left_Ventricle,1030,no,0.705,-0.431,-0.179
large,knn,hyena,Heart_Left_Ventricle,1030,no,0.649,-0.214,-0.287
large,svm,hyena,Heart_Left_Ventricle,1030,no,0.612,-0.078,-0.075
small,xgboost,hyena,Heart_Left_Ventricle,17,yes,1.008,-0.079,0.322
small,lightgbm,hyena,Heart_Left_Ventricle,17,yes,0.987,-0.033,0.227
small,random forest,hyena,Heart_Left_Ventricle,17,yes,0.95,0.042,0.233
small,knn,hyena,Heart_Left_Ventricle,17,yes,0.978,-0.015,-0.168
small,svm,hyena,Heart_Left_Ventricle,17,yes,0.966,0.01,0.185
middle,xgboost,hyena,Heart_Left_Ventricle,17,yes,0.717,0.101,0.44
middle,lightgbm,hyena,Heart_Left_Ventricle,17,yes,0.73,0.069,0.463
middle,random forest,hyena,Heart_Left_Ventricle,17,yes,0.745,0.03,0.433
middle,knn,hyena,Heart_Left_Ventricle,17,yes,0.825,-0.191,-0.207
middle,svm,hyena,Heart_Left_Ventricle,17,yes,0.697,0.151,0.484
large,xgboost,hyena,Heart_Left_Ventricle,17,yes,0.769,0.088,0.398
large,lightgbm,hyena,Heart_Left_Ventricle,17,yes,0.744,0.146,0.419
large,random forest,hyena,Heart_Left_Ventricle,17,yes,0.755,0.12,0.352
