size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,rnn,hyena,Nerve_Tibial,1030,no,0.509,0.509,1.0,0.675
middle,mlp,hyena,Nerve_Tibial,1030,no,0.394,0.429,0.158,0.231
middle,cnn,hyena,Nerve_Tibial,1030,no,0.424,0.0,0.0,0.0
middle,rnn,hyena,Nerve_Tibial,1030,no,0.424,0.0,0.0,0.0
large,mlp,hyena,Nerve_Tibial,1030,no,0.454,0.454,1.0,0.624
large,cnn,hyena,Nerve_Tibial,1030,no,0.515,0.483,0.977,0.647
large,rnn,hyena,Nerve_Tibial,1030,no,0.454,0.454,1.0,0.624
small,mlp,hyena,Esophagus_Mucosa,17,yes,0.535,0.333,0.053,0.091
small,cnn,hyena,Esophagus_Mucosa,17,yes,0.442,0.429,0.789,0.556
small,rnn,hyena,Esophagus_Mucosa,17,yes,0.395,0.394,0.684,0.5
middle,mlp,hyena,Esophagus_Mucosa,17,yes,0.5,0.571,0.148,0.235
middle,cnn,hyena,Esophagus_Mucosa,17,yes,0.5,0.51,0.963,0.667
middle,rnn,hyena,Esophagus_Mucosa,17,yes,0.519,0.519,1.0,0.684
large,mlp,hyena,Esophagus_Mucosa,17,yes,0.519,0.75,0.073,0.133
large,cnn,hyena,Esophagus_Mucosa,17,yes,0.481,0.491,0.659,0.562
large,rnn,hyena,Esophagus_Mucosa,17,yes,0.506,0.506,0.976,0.667
small,mlp,hyena,Esophagus_Mucosa,510,yes,0.512,0.0,0.0,0.0
small,cnn,hyena,Esophagus_Mucosa,510,yes,0.465,0.417,0.238,0.303
small,rnn,hyena,Esophagus_Mucosa,510,yes,0.535,0.538,0.333,0.412
middle,mlp,hyena,Esophagus_Mucosa,510,yes,0.5,0.5,1.0,0.667
middle,cnn,hyena,Esophagus_Mucosa,510,yes,0.5,0.0,0.0,0.0
middle,rnn,hyena,Esophagus_Mucosa,510,yes,0.558,0.571,0.462,0.511
large,mlp,hyena,Esophagus_Mucosa,510,yes,0.556,0.63,0.604,0.617
