size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
large,rnn,dnabert2,Nerve_Tibial,510,no,0.751,0.132,0.023,0.825
small,mlp,dnabert2,Nerve_Tibial,1030,no,0.705,0.009,0.136,0.332
small,cnn,dnabert2,Nerve_Tibial,1030,no,0.707,0.004,0.134,0.337
small,rnn,dnabert2,Nerve_Tibial,1030,no,0.722,0.04,0.033,0.812
middle,mlp,dnabert2,Nerve_Tibial,1030,no,0.812,0.036,0.226,0.068
middle,cnn,dnabert2,Nerve_Tibial,1030,no,0.812,0.036,0.065,0.607
middle,rnn,dnabert2,Nerve_Tibial,1030,no,0.84,0.109,0.066,0.601
large,mlp,dnabert2,Nerve_Tibial,1030,no,0.727,0.059,0.028,0.784
large,cnn,dnabert2,Nerve_Tibial,1030,no,0.714,0.023,0.182,0.075
large,rnn,dnabert2,Nerve_Tibial,1030,no,0.758,0.151,0.072,0.486
small,mlp,dnabert2,Esophagus_Mucosa,17,yes,0.73,0.034,0.082,0.603
small,cnn,dnabert2,Esophagus_Mucosa,17,yes,0.741,0.066,0.159,0.308
small,rnn,dnabert2,Esophagus_Mucosa,17,yes,0.779,0.181,0.006,0.971
middle,mlp,dnabert2,Esophagus_Mucosa,17,yes,0.742,0.008,0.179,0.205
middle,cnn,dnabert2,Esophagus_Mucosa,17,yes,0.741,0.009,0.304,0.028
middle,rnn,dnabert2,Esophagus_Mucosa,17,yes,0.763,0.049,0.042,0.768
large,mlp,dnabert2,Esophagus_Mucosa,17,yes,0.81,0.002,0.214,0.055
large,cnn,dnabert2,Esophagus_Mucosa,17,yes,0.815,0.01,0.182,0.105
large,rnn,dnabert2,Esophagus_Mucosa,17,yes,0.805,0.013,0.221,0.048
small,mlp,dnabert2,Esophagus_Mucosa,510,yes,0.76,0.021,0.168,0.282
small,cnn,dnabert2,Esophagus_Mucosa,510,yes,0.758,0.014,0.183,0.239
small,rnn,dnabert2,Esophagus_Mucosa,510,yes,0.76,0.02,0.168,0.281
middle,mlp,dnabert2,Esophagus_Mucosa,510,yes,0.784,0.358,0.096,0.498
middle,cnn,dnabert2,Esophagus_Mucosa,510,yes,0.731,0.18,0.111,0.432
middle,rnn,dnabert2,Esophagus_Mucosa,510,yes,0.737,0.198,0.16,0.258
large,mlp,dnabert2,Esophagus_Mucosa,510,yes,0.8,0.004,0.165,0.141
large,cnn,dnabert2,Esophagus_Mucosa,510,yes,0.8,0.003,0.156,0.164
large,rnn,dnabert2,Esophagus_Mucosa,510,yes,0.796,0.006,0.193,0.084
