size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
middle,mlp,NT,Nerve_Tibial,510,no,0.821,0.06,0.048,0.702
middle,cnn,NT,Nerve_Tibial,510,no,0.81,0.032,0.043,0.734
middle,rnn,NT,Nerve_Tibial,510,no,0.903,0.281,0.308,0.012
large,mlp,NT,Nerve_Tibial,510,no,0.708,0.005,0.074,0.472
large,cnn,NT,Nerve_Tibial,510,no,0.744,0.11,0.11,0.282
large,rnn,NT,Nerve_Tibial,510,no,0.705,0.005,0.264,0.009
small,mlp,NT,Nerve_Tibial,1030,no,0.773,0.193,0.067,0.634
small,cnn,NT,Nerve_Tibial,1030,no,0.696,0.032,0.178,0.201
small,rnn,NT,Nerve_Tibial,1030,no,0.855,0.458,0.144,0.303
middle,mlp,NT,Nerve_Tibial,1030,no,0.797,0.001,0.109,0.384
middle,cnn,NT,Nerve_Tibial,1030,no,0.795,0.006,0.081,0.518
middle,rnn,NT,Nerve_Tibial,1030,no,0.935,0.374,0.167,0.18
large,mlp,NT,Nerve_Tibial,1030,no,0.739,0.094,0.18,0.077
large,cnn,NT,Nerve_Tibial,1030,no,0.742,0.102,0.181,0.076
large,rnn,NT,Nerve_Tibial,1030,no,0.71,0.009,0.277,0.006
small,mlp,NT,Esophagus_Mucosa,17,yes,0.742,0.069,0.056,0.722
small,cnn,NT,Esophagus_Mucosa,17,yes,0.782,0.188,0.03,0.85
small,rnn,NT,Esophagus_Mucosa,17,yes,0.792,0.218,0.214,0.168
middle,mlp,NT,Esophagus_Mucosa,17,yes,0.733,0.007,0.111,0.433
middle,cnn,NT,Esophagus_Mucosa,17,yes,0.769,0.093,0.197,0.162
middle,rnn,NT,Esophagus_Mucosa,17,yes,0.752,0.046,0.129,0.361
large,mlp,NT,Esophagus_Mucosa,17,yes,0.874,0.246,0.012,0.913
large,cnn,NT,Esophagus_Mucosa,17,yes,0.8,0.044,0.045,0.69
large,rnn,NT,Esophagus_Mucosa,17,yes,0.821,0.099,0.027,0.814
small,mlp,NT,Esophagus_Mucosa,510,yes,0.804,0.141,0.003,0.987
small,cnn,NT,Esophagus_Mucosa,510,yes,0.81,0.158,0.031,0.843
small,rnn,NT,Esophagus_Mucosa,510,yes,0.853,0.286,0.005,0.974
middle,mlp,NT,Esophagus_Mucosa,510,yes,0.68,0.028,0.049,0.732
middle,cnn,NT,Esophagus_Mucosa,510,yes,0.598,0.204,0.455,0.001
middle,rnn,NT,Esophagus_Mucosa,510,yes,0.721,0.157,0.066,0.64
large,mlp,NT,Esophagus_Mucosa,510,yes,0.749,0.055,0.031,0.786
large,cnn,NT,Esophagus_Mucosa,510,yes,0.747,0.048,0.009,0.939
large,rnn,NT,Esophagus_Mucosa,510,yes,0.782,0.147,0.089,0.431
small,mlp,NT,Esophagus_Mucosa,1030,yes,0.774,0.227,0.086,0.584
small,cnn,NT,Esophagus_Mucosa,1030,yes,0.686,0.037,0.222,0.153
small,rnn,NT,Esophagus_Mucosa,1030,yes,0.766,0.203,0.133,0.396
middle,mlp,NT,Esophagus_Mucosa,1030,yes,0.712,0.037,0.271,0.052
middle,cnn,NT,Esophagus_Mucosa,1030,yes,0.72,0.014,0.132,0.352
middle,rnn,NT,Esophagus_Mucosa,1030,yes,0.68,0.121,0.353,0.01
large,mlp,NT,Esophagus_Mucosa,1030,yes,0.764,0.112,0.186,0.096
large,cnn,NT,Esophagus_Mucosa,1030,yes,0.713,0.032,0.211,0.058
large,rnn,NT,Esophagus_Mucosa,1030,yes,0.71,0.041,0.248,0.025
small,mlp,NT,Heart_Left_Ventricle,17,yes,1.027,0.119,0.032,0.88
small,cnn,NT,Heart_Left_Ventricle,17,yes,0.976,0.011,0.018,0.934
small,rnn,NT,Heart_Left_Ventricle,17,yes,1.044,0.158,0.156,0.457
middle,mlp,NT,Heart_Left_Ventricle,17,yes,0.815,0.156,0.159,0.437
middle,cnn,NT,Heart_Left_Ventricle,17,yes,0.824,0.185,0.094,0.648
middle,rnn,NT,Heart_Left_Ventricle,17,yes,0.878,0.343,0.124,0.547
large,mlp,NT,Heart_Left_Ventricle,17,yes,0.684,0.134,0.454,0.002
large,cnn,NT,Heart_Left_Ventricle,17,yes,0.741,0.016,0.215,0.16
large,rnn,NT,Heart_Left_Ventricle,17,yes,0.708,0.074,0.389,0.009
small,mlp,NT,Heart_Left_Ventricle,510,yes,0.83,0.555,0.128,0.542
small,cnn,NT,Heart_Left_Ventricle,510,yes,0.68,0.045,0.139,0.508
small,rnn,NT,Heart_Left_Ventricle,510,yes,0.859,0.668,0.213,0.307
middle,mlp,NT,Heart_Left_Ventricle,510,yes,0.883,0.078,0.262,0.196
middle,cnn,NT,Heart_Left_Ventricle,510,yes,0.874,0.057,0.187,0.361
middle,rnn,NT,Heart_Left_Ventricle,510,yes,0.841,0.023,0.256,0.207
large,mlp,NT,Heart_Left_Ventricle,510,yes,0.816,0.039,0.084,0.588
large,cnn,NT,Heart_Left_Ventricle,510,yes,0.795,0.013,0.213,0.165
large,rnn,NT,Heart_Left_Ventricle,510,yes,0.803,0.006,0.206,0.179
