size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,cnn,hyena,Nerve_Tibial,510,no,0.706,0.006,0.16,0.254
small,rnn,hyena,Nerve_Tibial,510,no,0.717,0.025,0.159,0.254
middle,mlp,hyena,Nerve_Tibial,510,no,0.796,0.003,0.136,0.277
middle,cnn,hyena,Nerve_Tibial,510,no,0.792,0.014,0.181,0.145
middle,rnn,hyena,Nerve_Tibial,510,no,0.79,0.02,0.215,0.084
large,mlp,hyena,Nerve_Tibial,510,no,0.719,0.037,0.196,0.055
large,cnn,hyena,Nerve_Tibial,510,no,0.748,0.121,0.17,0.097
large,rnn,hyena,Nerve_Tibial,510,no,0.754,0.14,0.211,0.038
small,mlp,hyena,Nerve_Tibial,1030,no,0.788,0.241,0.012,0.93
small,cnn,hyena,Nerve_Tibial,1030,no,0.71,0.006,0.003,0.983
small,rnn,hyena,Nerve_Tibial,1030,no,0.787,0.237,0.034,0.811
middle,mlp,hyena,Nerve_Tibial,1030,no,0.802,0.012,0.211,0.088
middle,cnn,hyena,Nerve_Tibial,1030,no,0.793,0.013,0.154,0.217
middle,rnn,hyena,Nerve_Tibial,1030,no,0.792,0.015,0.21,0.091
large,mlp,hyena,Nerve_Tibial,1030,no,0.712,0.015,0.189,0.064
large,cnn,hyena,Nerve_Tibial,1030,no,0.718,0.034,0.203,0.046
large,rnn,hyena,Nerve_Tibial,1030,no,0.75,0.127,0.196,0.054
small,mlp,hyena,Esophagus_Mucosa,17,yes,0.737,0.054,0.043,0.785
small,cnn,hyena,Esophagus_Mucosa,17,yes,0.742,0.071,0.048,0.758
small,rnn,hyena,Esophagus_Mucosa,17,yes,0.752,0.1,0.004,0.979
middle,mlp,hyena,Esophagus_Mucosa,17,yes,0.744,0.011,0.205,0.146
middle,cnn,hyena,Esophagus_Mucosa,17,yes,0.746,0.005,0.146,0.3
middle,rnn,hyena,Esophagus_Mucosa,17,yes,0.73,0.046,0.299,0.031
large,mlp,hyena,Esophagus_Mucosa,17,yes,0.732,0.005,0.073,0.516
large,cnn,hyena,Esophagus_Mucosa,17,yes,0.732,0.005,0.073,0.519
large,rnn,hyena,Esophagus_Mucosa,17,yes,0.732,0.007,0.093,0.408
small,mlp,hyena,Esophagus_Mucosa,510,yes,0.77,0.047,0.123,0.432
small,cnn,hyena,Esophagus_Mucosa,510,yes,0.747,0.014,0.12,0.442
small,rnn,hyena,Esophagus_Mucosa,510,yes,0.747,0.014,0.119,0.448
middle,mlp,hyena,Esophagus_Mucosa,510,yes,0.834,0.022,0.134,0.345
middle,cnn,hyena,Esophagus_Mucosa,510,yes,0.873,0.12,0.235,0.093
middle,rnn,hyena,Esophagus_Mucosa,510,yes,0.846,0.051,0.051,0.719
large,mlp,hyena,Esophagus_Mucosa,510,yes,0.879,0.079,0.122,0.278
large,cnn,hyena,Esophagus_Mucosa,510,yes,0.844,0.004,0.152,0.175
large,rnn,hyena,Esophagus_Mucosa,510,yes,0.845,0.003,0.143,0.202
small,mlp,hyena,Esophagus_Mucosa,1030,yes,0.69,0.024,0.161,0.304
small,cnn,hyena,Esophagus_Mucosa,1030,yes,0.699,0.001,0.14,0.369
small,rnn,hyena,Esophagus_Mucosa,1030,yes,0.682,0.047,0.259,0.094
middle,mlp,hyena,Esophagus_Mucosa,1030,yes,0.756,0.042,0.048,0.734
middle,cnn,hyena,Esophagus_Mucosa,1030,yes,0.745,0.012,0.008,0.955
middle,rnn,hyena,Esophagus_Mucosa,1030,yes,0.747,0.018,0.033,0.814
large,mlp,hyena,Esophagus_Mucosa,1030,yes,0.777,0.016,0.026,0.815
large,cnn,hyena,Esophagus_Mucosa,1030,yes,0.791,0.054,0.019,0.865
large,rnn,hyena,Esophagus_Mucosa,1030,yes,0.807,0.098,0.031,0.781
small,mlp,hyena,Heart_Left_Ventricle,17,yes,1.016,0.096,0.191,0.359
small,cnn,hyena,Heart_Left_Ventricle,17,yes,0.973,0.005,0.02,0.925
small,rnn,hyena,Heart_Left_Ventricle,17,yes,0.971,0.002,0.098,0.641
middle,mlp,hyena,Heart_Left_Ventricle,17,yes,0.767,0.004,0.158,0.44
middle,cnn,hyena,Heart_Left_Ventricle,17,yes,0.778,0.024,0.188,0.359
middle,rnn,hyena,Heart_Left_Ventricle,17,yes,0.756,0.034,0.197,0.336
large,mlp,hyena,Heart_Left_Ventricle,17,yes,0.773,0.134,0.113,0.463
large,cnn,hyena,Heart_Left_Ventricle,17,yes,0.776,0.145,0.067,0.665
large,rnn,hyena,Heart_Left_Ventricle,17,yes,0.809,0.244,0.081,0.6
small,mlp,hyena,Heart_Left_Ventricle,510,yes,0.671,0.017,0.014,0.948
small,cnn,hyena,Heart_Left_Ventricle,510,yes,0.685,0.059,0.065,0.758
small,rnn,hyena,Heart_Left_Ventricle,510,yes,0.679,0.043,0.046,0.828
middle,mlp,hyena,Heart_Left_Ventricle,510,yes,0.732,0.116,0.189,0.354
middle,cnn,hyena,Heart_Left_Ventricle,510,yes,0.652,0.117,0.408,0.039
middle,rnn,hyena,Heart_Left_Ventricle,510,yes,0.686,0.021,0.176,0.39
large,mlp,hyena,Heart_Left_Ventricle,510,yes,0.824,0.044,0.014,0.929
large,cnn,hyena,Heart_Left_Ventricle,510,yes,0.83,0.061,0.0,0.998
large,rnn,hyena,Heart_Left_Ventricle,510,yes,0.837,0.077,0.013,0.932
small,mlp,hyena,Heart_Left_Ventricle,1030,yes,0.95,0.521,0.101,0.632
small,cnn,hyena,Heart_Left_Ventricle,1030,yes,0.883,0.313,0.06,0.776
small,rnn,hyena,Heart_Left_Ventricle,1030,yes,0.909,0.391,0.08,0.702
middle,mlp,hyena,Heart_Left_Ventricle,1030,yes,0.741,0.13,0.281,0.165
middle,cnn,hyena,Heart_Left_Ventricle,1030,yes,0.777,0.24,0.153,0.456
middle,rnn,hyena,Heart_Left_Ventricle,1030,yes,0.777,0.242,0.206,0.314
large,mlp,hyena,Heart_Left_Ventricle,1030,yes,0.692,0.01,0.165,0.284
large,cnn,hyena,Heart_Left_Ventricle,1030,yes,0.727,0.092,0.042,0.788
large,rnn,hyena,Heart_Left_Ventricle,1030,yes,0.699,0.012,0.13,0.402
small,mlp,hyena,Nerve_Tibial,17,yes,0.852,0.017,0.087,0.565
small,cnn,hyena,Nerve_Tibial,17,yes,0.851,0.013,0.075,0.621
small,rnn,hyena,Nerve_Tibial,17,yes,0.867,0.051,0.099,0.515
middle,mlp,hyena,Nerve_Tibial,17,yes,0.768,0.041,0.068,0.582
middle,cnn,hyena,Nerve_Tibial,17,yes,0.778,0.068,0.095,0.441
middle,rnn,hyena,Nerve_Tibial,17,yes,0.769,0.045,0.059,0.635
large,mlp,hyena,Nerve_Tibial,17,yes,0.829,0.089,0.006,0.954
large,cnn,hyena,Nerve_Tibial,17,yes,0.805,0.026,0.03,0.754
large,rnn,hyena,Nerve_Tibial,17,yes,0.81,0.04,0.028,0.77
small,mlp,hyena,Nerve_Tibial,510,yes,0.885,0.064,0.165,0.273
small,cnn,hyena,Nerve_Tibial,510,yes,0.867,0.022,0.132,0.384
small,rnn,hyena,Nerve_Tibial,510,yes,0.874,0.038,0.119,0.432
middle,mlp,hyena,Nerve_Tibial,510,yes,0.722,0.017,0.171,0.163
middle,cnn,hyena,Nerve_Tibial,510,yes,0.747,0.089,0.167,0.172
middle,rnn,hyena,Nerve_Tibial,510,yes,0.757,0.119,0.142,0.248
large,mlp,hyena,Nerve_Tibial,510,yes,0.783,0.006,0.053,0.575
large,cnn,hyena,Nerve_Tibial,510,yes,0.781,0.0,0.037,0.696
large,rnn,hyena,Nerve_Tibial,510,yes,0.784,0.008,0.063,0.504
small,mlp,hyena,Nerve_Tibial,1030,yes,0.687,0.023,0.13,0.391
small,cnn,hyena,Nerve_Tibial,1030,yes,0.681,0.007,0.008,0.956
small,rnn,hyena,Nerve_Tibial,1030,yes,0.69,0.032,0.122,0.419
middle,mlp,hyena,Nerve_Tibial,1030,yes,0.715,0.052,0.207,0.09
middle,cnn,hyena,Nerve_Tibial,1030,yes,0.69,0.021,0.172,0.162
middle,rnn,hyena,Nerve_Tibial,1030,yes,0.707,0.026,0.059,0.634
large,mlp,hyena,Nerve_Tibial,1030,yes,0.771,0.007,0.241,0.01
large,cnn,hyena,Nerve_Tibial,1030,yes,0.762,0.017,0.274,0.003
large,rnn,hyena,Nerve_Tibial,1030,yes,0.763,0.012,0.159,0.092
