size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,transformer,dnabert,Heart_Left_Ventricle,1024,yes,0.7934,0.085,0.4012
small,transformer,dnabert,Esophagus_Mucosa,1024,yes,0.8435,-0.0798,-0.1324
large,transformer,dnabert,Heart_Left_Ventricle,510,yes,0.7557,0.0019,0.0737
large,transformer,dnabert,Nerve_Tibial,510,yes,0.8209,0.0066,0.0906
large,transformer,dnabert,Esophagus_Mucosa,17,yes,0.7677,-0.0706,-0.0638
middle,transformer,dnabert,Heart_Left_Ventricle,1024,yes,0.6035,0.157,0.4916
large,transformer,dnabert,Nerve_Tibial,17,yes,0.8398,0.005,0.1467
small,transformer,dnabert,Nerve_Tibial,17,no,0.7094,-0.0046,-0.06
small,transformer,dnabert,Nerve_Tibial,1024,no,0.7096,-0.0052,0.177
middle,transformer,dnabert,Nerve_Tibial,17,no,0.8035,-0.0151,0.0861
small,transformer,dnabert,Heart_Left_Ventricle,510,no,0.6301,0.0117,0.215
middle,transformer,dnabert,Heart_Left_Ventricle,17,no,0.7712,0.0051,0.1137
middle,transformer,dnabert,Nerve_Tibial,510,no,0.8024,-0.0124,0.165
small,transformer,dnabert,Nerve_Tibial,510,no,0.7114,-0.0103,0.117
middle,transformer,dnabert,Nerve_Tibial,1024,no,0.8022,-0.0119,0.1074
large,transformer,dnabert,Heart_Left_Ventricle,1024,no,0.591,-0.0064,-0.4564
small,transformer,dnabert,Esophagus_Mucosa,17,no,0.774,-0.033,-0.1952
small,transformer,dnabert,Heart_Left_Ventricle,17,no,0.6334,0.0014,0.1061
small,transformer,dnabert,Esophagus_Mucosa,510,no,0.7784,-0.0448,-0.2999
middle,transformer,dnabert,Esophagus_Mucosa,1024,no,0.8111,-0.1277,0.2209
middle,transformer,dnabert,Heart_Left_Ventricle,510,no,0.7746,-0.0038,0.1035
large,transformer,dnabert,Heart_Left_Ventricle,17,no,0.5883,0.0024,0.4296
middle,transformer,dnabert,Esophagus_Mucosa,17,no,0.7722,-0.0222,0.2246
large,transformer,dnabert,Esophagus_Mucosa,1024,no,0.7571,-0.0155,-0.0342
middle,transformer,dnabert,Esophagus_Mucosa,510,no,0.768,-0.011,-0.0536
large,transformer,dnabert,Nerve_Tibial,1024,no,0.7111,-0.0135,-0.2073
large,transformer,dnabert,Esophagus_Mucosa,510,no,0.7527,-0.0039,0.0549
small,transformer,dnabert,Heart_Left_Ventricle,1024,no,0.6211,0.0399,0.3052
small,transformer,dnabert,Esophagus_Mucosa,1024,no,0.7694,-0.0206,-0.402
large,transformer,dnabert,Heart_Left_Ventricle,510,no,0.5897,-0.0023,-0.4076
large,transformer,dnabert,Nerve_Tibial,510,no,0.712,-0.0162,-0.1094
large,transformer,dnabert,Esophagus_Mucosa,17,no,0.7548,-0.0095,0.0688
middle,transformer,dnabert,Heart_Left_Ventricle,1024,no,0.7749,-0.0044,0.0693
large,transformer,dnabert,Nerve_Tibial,17,no,0.7109,-0.013,0.1603
small,transformer,NT,Nerve_Tibial,17,yes,0.7661,-0.0033,0.1736
small,transformer,NT,Nerve_Tibial,1024,yes,0.8453,-0.0014,-0.0054
middle,transformer,NT,Nerve_Tibial,17,yes,0.8225,0.0173,0.1374
