size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,cnn,onehot,Nerve_Tibial,510,no,0.757,0.144,0.03,0.833
small,rnn,onehot,Nerve_Tibial,510,no,0.707,0.001,0.183,0.19
middle,mlp,onehot,Nerve_Tibial,510,no,0.726,0.051,0.091,0.518
middle,cnn,onehot,Nerve_Tibial,510,no,0.742,0.1,0.087,0.534
middle,rnn,onehot,Nerve_Tibial,510,no,0.78,0.044,0.265,0.032
large,mlp,onehot,Nerve_Tibial,510,no,0.857,0.156,0.014,0.909
large,cnn,onehot,Nerve_Tibial,510,no,0.873,0.198,0.199,0.109
large,rnn,onehot,Nerve_Tibial,510,no,0.806,0.02,0.044,0.728
small,mlp,onehot,Nerve_Tibial,1030,no,0.882,0.554,0.097,0.489
small,cnn,onehot,Nerve_Tibial,1030,no,0.764,0.165,0.008,0.957
small,rnn,onehot,Nerve_Tibial,1030,no,0.74,0.092,0.004,0.978
middle,mlp,onehot,Nerve_Tibial,1030,no,0.715,0.021,0.112,0.427
middle,cnn,onehot,Nerve_Tibial,1030,no,0.742,0.1,0.087,0.534
middle,rnn,onehot,Nerve_Tibial,1030,no,0.841,0.111,0.002,0.987
large,mlp,onehot,Nerve_Tibial,1030,no,0.845,0.123,0.049,0.697
large,cnn,onehot,Nerve_Tibial,1030,no,0.827,0.075,0.05,0.689
large,rnn,onehot,Nerve_Tibial,1030,no,0.806,0.021,0.051,0.684
small,mlp,onehot,Esophagus_Mucosa,17,yes,0.719,0.006,0.302,0.049
small,cnn,onehot,Esophagus_Mucosa,17,yes,0.69,0.075,0.327,0.032
small,rnn,onehot,Esophagus_Mucosa,17,yes,0.695,0.061,0.267,0.084
middle,mlp,onehot,Esophagus_Mucosa,17,yes,0.719,0.006,0.007,0.962
middle,cnn,onehot,Esophagus_Mucosa,17,yes,0.725,0.022,0.201,0.195
middle,rnn,onehot,Esophagus_Mucosa,17,yes,0.688,0.017,0.373,0.007
large,mlp,onehot,Esophagus_Mucosa,17,yes,0.673,0.06,0.365,0.008
large,cnn,onehot,Esophagus_Mucosa,17,yes,0.646,0.134,0.395,0.004
large,rnn,onehot,Esophagus_Mucosa,17,yes,0.708,0.041,0.066,0.643
small,mlp,onehot,Esophagus_Mucosa,510,yes,0.793,0.111,0.153,0.326
small,cnn,onehot,Esophagus_Mucosa,510,yes,0.742,0.029,0.263,0.088
small,rnn,onehot,Esophagus_Mucosa,510,yes,0.728,0.065,0.271,0.078
middle,mlp,onehot,Esophagus_Mucosa,510,yes,0.76,0.019,0.218,0.16
middle,cnn,onehot,Esophagus_Mucosa,510,yes,0.717,0.091,0.303,0.048
middle,rnn,onehot,Esophagus_Mucosa,510,yes,0.793,0.194,0.16,0.256
large,mlp,onehot,Esophagus_Mucosa,510,yes,0.737,0.033,0.237,0.091
large,cnn,onehot,Esophagus_Mucosa,510,yes,0.681,0.12,0.352,0.01
large,rnn,onehot,Esophagus_Mucosa,510,yes,0.726,0.001,0.058,0.682
small,mlp,onehot,Esophagus_Mucosa,1030,yes,0.726,0.081,0.275,0.075
small,cnn,onehot,Esophagus_Mucosa,1030,yes,0.705,0.018,0.289,0.06
small,rnn,onehot,Esophagus_Mucosa,1030,yes,0.69,0.024,0.259,0.093
middle,mlp,onehot,Esophagus_Mucosa,1030,yes,0.698,0.002,0.244,0.115
middle,cnn,onehot,Esophagus_Mucosa,1030,yes,0.679,0.055,0.293,0.057
middle,rnn,onehot,Esophagus_Mucosa,1030,yes,0.699,0.13,0.236,0.091
large,mlp,onehot,Esophagus_Mucosa,1030,yes,0.624,0.098,0.385,0.005
large,cnn,onehot,Esophagus_Mucosa,1030,yes,0.598,0.171,0.418,0.002
large,rnn,onehot,Esophagus_Mucosa,1030,yes,0.658,0.003,0.026,0.857
small,mlp,onehot,Heart_Left_Ventricle,17,yes,0.974,0.007,0.216,0.3
small,cnn,onehot,Heart_Left_Ventricle,17,yes,1.013,0.089,0.083,0.694
small,rnn,onehot,Heart_Left_Ventricle,17,yes,0.924,0.093,0.321,0.118
middle,mlp,onehot,Heart_Left_Ventricle,17,yes,0.975,0.01,0.232,0.265
middle,cnn,onehot,Heart_Left_Ventricle,17,yes,0.966,0.01,0.187,0.37
middle,rnn,onehot,Heart_Left_Ventricle,17,yes,0.885,0.26,0.043,0.836
large,mlp,onehot,Heart_Left_Ventricle,17,yes,0.879,0.243,0.003,0.99
large,cnn,onehot,Heart_Left_Ventricle,17,yes,0.797,0.023,0.11,0.594
large,rnn,onehot,Heart_Left_Ventricle,17,yes,0.809,0.054,0.069,0.737
small,mlp,onehot,Heart_Left_Ventricle,510,yes,0.811,0.485,0.254,0.221
small,cnn,onehot,Heart_Left_Ventricle,510,yes,0.749,0.268,0.027,0.899
small,rnn,onehot,Heart_Left_Ventricle,510,yes,0.732,0.211,0.2,0.338
middle,mlp,onehot,Heart_Left_Ventricle,510,yes,0.671,0.017,0.297,0.149
middle,cnn,onehot,Heart_Left_Ventricle,510,yes,0.672,0.019,0.121,0.565
middle,rnn,onehot,Heart_Left_Ventricle,510,yes,0.801,0.181,0.252,0.215
large,mlp,onehot,Heart_Left_Ventricle,510,yes,0.739,0.006,0.329,0.1
large,cnn,onehot,Heart_Left_Ventricle,510,yes,0.712,0.066,0.378,0.057
large,rnn,onehot,Heart_Left_Ventricle,510,yes,0.798,0.175,0.177,0.386
small,mlp,onehot,Heart_Left_Ventricle,1030,yes,0.881,0.308,0.071,0.735
small,cnn,onehot,Heart_Left_Ventricle,1030,yes,0.857,0.236,0.15,0.473
small,rnn,onehot,Heart_Left_Ventricle,1030,yes,0.829,0.159,0.207,0.321
middle,mlp,onehot,Heart_Left_Ventricle,1030,yes,0.86,0.245,0.165,0.43
middle,cnn,onehot,Heart_Left_Ventricle,1030,yes,0.814,0.116,0.374,0.066
middle,rnn,onehot,Heart_Left_Ventricle,1030,yes,0.775,0.038,0.327,0.103
large,mlp,onehot,Heart_Left_Ventricle,1030,yes,0.799,0.022,0.265,0.191
large,cnn,onehot,Heart_Left_Ventricle,1030,yes,0.811,0.053,0.098,0.633
large,rnn,onehot,Heart_Left_Ventricle,1030,yes,0.803,0.032,0.2,0.327
small,mlp,onehot,Nerve_Tibial,17,yes,0.908,0.153,0.171,0.255
small,cnn,onehot,Nerve_Tibial,17,yes,0.877,0.076,0.191,0.204
small,rnn,onehot,Nerve_Tibial,17,yes,0.811,0.08,0.316,0.032
middle,mlp,onehot,Nerve_Tibial,17,yes,0.852,0.017,0.018,0.904
middle,cnn,onehot,Nerve_Tibial,17,yes,0.791,0.124,0.361,0.014
middle,rnn,onehot,Nerve_Tibial,17,yes,0.706,0.074,0.413,0.0
