size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,svm,gpn,Heart_Left_Ventricle,510,no,0.57,0.57,1.0,0.73
middle,xgboost,gpn,Heart_Left_Ventricle,510,no,0.43,0.5,0.41,0.45
middle,lightgbm,gpn,Heart_Left_Ventricle,510,no,0.63,0.68,0.64,0.66
middle,random forest,gpn,Heart_Left_Ventricle,510,no,0.53,0.61,0.47,0.53
middle,knn,gpn,Heart_Left_Ventricle,510,no,0.43,0.0,0.0,0.0
middle,svm,gpn,Heart_Left_Ventricle,510,no,0.43,0.0,0.0,0.0
large,xgboost,gpn,Heart_Left_Ventricle,510,no,0.42,0.33,0.43,0.37
large,lightgbm,gpn,Heart_Left_Ventricle,510,no,0.4,0.33,0.5,0.4
large,random forest,gpn,Heart_Left_Ventricle,510,no,0.42,0.38,0.75,0.51
large,knn,gpn,Heart_Left_Ventricle,510,no,0.4,0.4,1.0,0.57
large,svm,gpn,Heart_Left_Ventricle,510,no,0.45,0.39,0.68,0.5
small,xgboost,gpn,Heart_Left_Ventricle,1030,no,0.26,0.36,0.36,0.36
small,lightgbm,gpn,Heart_Left_Ventricle,1030,no,0.36,0.45,0.45,0.45
small,random forest,gpn,Heart_Left_Ventricle,1030,no,0.52,0.57,0.72,0.64
small,knn,gpn,Heart_Left_Ventricle,1030,no,0.57,0.57,1.0,0.73
small,svm,gpn,Heart_Left_Ventricle,1030,no,0.57,0.57,1.0,0.73
middle,xgboost,gpn,Heart_Left_Ventricle,1030,no,0.6,0.63,0.7,0.66
middle,lightgbm,gpn,Heart_Left_Ventricle,1030,no,0.6,0.66,0.58,0.62
middle,random forest,gpn,Heart_Left_Ventricle,1030,no,0.46,0.53,0.47,0.5
middle,knn,gpn,Heart_Left_Ventricle,1030,no,0.4,0.42,0.17,0.25
middle,svm,gpn,Heart_Left_Ventricle,1030,no,0.43,0.0,0.0,0.0
large,xgboost,gpn,Heart_Left_Ventricle,1030,no,0.42,0.33,0.43,0.37
large,lightgbm,gpn,Heart_Left_Ventricle,1030,no,0.47,0.4,0.62,0.48
large,random forest,gpn,Heart_Left_Ventricle,1030,no,0.47,0.4,0.68,0.51
large,knn,gpn,Heart_Left_Ventricle,1030,no,0.4,0.38,0.87,0.53
