size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,svm,hyena,Heart_Left_Ventricle,510,no,0.57,0.57,1.0,0.73
middle,xgboost,hyena,Heart_Left_Ventricle,510,no,0.46,0.53,0.47,0.5
middle,lightgbm,hyena,Heart_Left_Ventricle,510,no,0.4,0.47,0.58,0.52
middle,random forest,hyena,Heart_Left_Ventricle,510,no,0.46,0.52,0.52,0.52
middle,knn,hyena,Heart_Left_Ventricle,510,no,0.46,0.66,0.11,0.2
middle,svm,hyena,Heart_Left_Ventricle,510,no,0.4,0.0,0.0,0.0
large,xgboost,hyena,Heart_Left_Ventricle,510,no,0.42,0.34,0.5,0.41
large,lightgbm,hyena,Heart_Left_Ventricle,510,no,0.5,0.4,0.5,0.44
large,random forest,hyena,Heart_Left_Ventricle,510,no,0.37,0.32,0.5,0.39
large,knn,hyena,Heart_Left_Ventricle,510,no,0.32,0.35,0.81,0.49
large,svm,hyena,Heart_Left_Ventricle,510,no,0.4,0.4,1.0,0.57
small,xgboost,hyena,Heart_Left_Ventricle,1030,no,0.63,0.66,0.72,0.69
small,lightgbm,hyena,Heart_Left_Ventricle,1030,no,0.47,0.53,0.63,0.58
small,random forest,hyena,Heart_Left_Ventricle,1030,no,0.57,0.58,0.9,0.71
small,knn,hyena,Heart_Left_Ventricle,1030,no,0.57,0.57,1.0,0.73
small,svm,hyena,Heart_Left_Ventricle,1030,no,0.47,0.53,0.63,0.58
middle,xgboost,hyena,Heart_Left_Ventricle,1030,no,0.46,0.52,0.52,0.52
middle,lightgbm,hyena,Heart_Left_Ventricle,1030,no,0.53,0.58,0.58,0.58
middle,random forest,hyena,Heart_Left_Ventricle,1030,no,0.43,0.5,0.52,0.51
middle,knn,hyena,Heart_Left_Ventricle,1030,no,0.46,0.66,0.11,0.2
middle,svm,hyena,Heart_Left_Ventricle,1030,no,0.43,0.0,0.0,0.0
large,xgboost,hyena,Heart_Left_Ventricle,1030,no,0.6,0.5,0.56,0.52
large,lightgbm,hyena,Heart_Left_Ventricle,1030,no,0.5,0.4,0.5,0.44
large,random forest,hyena,Heart_Left_Ventricle,1030,no,0.45,0.36,0.5,0.42
large,knn,hyena,Heart_Left_Ventricle,1030,no,0.4,0.4,1.0,0.57
large,svm,hyena,Heart_Left_Ventricle,1030,no,0.37,0.3,0.43,0.35
small,xgboost,hyena,Nerve_Tibial,17,no,0.43,0.44,0.48,0.46
small,lightgbm,hyena,Nerve_Tibial,17,no,0.45,0.46,0.51,0.49
small,random forest,hyena,Nerve_Tibial,17,no,0.52,0.52,0.66,0.59
small,knn,hyena,Nerve_Tibial,17,no,0.5,0.5,1.0,0.67
small,svm,hyena,Nerve_Tibial,17,no,0.5,0.5,1.0,0.67
middle,xgboost,hyena,Nerve_Tibial,17,no,0.48,0.56,0.44,0.5
middle,lightgbm,hyena,Nerve_Tibial,17,no,0.48,0.56,0.47,0.51
middle,random forest,hyena,Nerve_Tibial,17,no,0.45,0.53,0.42,0.47
middle,knn,hyena,Nerve_Tibial,17,no,0.56,0.61,0.63,0.62
middle,svm,hyena,Nerve_Tibial,17,no,0.57,0.57,1.0,0.73
large,xgboost,hyena,Nerve_Tibial,17,no,0.41,0.36,0.4,0.38
large,lightgbm,hyena,Nerve_Tibial,17,no,0.46,0.41,0.45,0.43
large,random forest,hyena,Nerve_Tibial,17,no,0.49,0.44,0.5,0.47
large,knn,hyena,Nerve_Tibial,17,no,0.58,0.54,0.61,0.57
large,svm,hyena,Nerve_Tibial,17,no,0.45,0.45,1.0,0.62
small,xgboost,hyena,Nerve_Tibial,510,no,0.49,0.5,0.59,0.54
small,lightgbm,hyena,Nerve_Tibial,510,no,0.45,0.47,0.59,0.52
small,random forest,hyena,Nerve_Tibial,510,no,0.54,0.55,0.59,0.57
small,knn,hyena,Nerve_Tibial,510,no,0.5,0.51,0.85,0.63
small,svm,hyena,Nerve_Tibial,510,no,0.52,0.52,0.81,0.63
middle,xgboost,hyena,Nerve_Tibial,510,no,0.56,0.62,0.57,0.6
middle,lightgbm,hyena,Nerve_Tibial,510,no,0.46,0.55,0.42,0.47
middle,random forest,hyena,Nerve_Tibial,510,no,0.46,0.55,0.42,0.47
middle,knn,hyena,Nerve_Tibial,510,no,0.51,0.54,0.89,0.68
middle,svm,hyena,Nerve_Tibial,510,no,0.54,0.56,0.92,0.7
large,xgboost,hyena,Nerve_Tibial,510,no,0.41,0.36,0.38,0.37
large,lightgbm,hyena,Nerve_Tibial,510,no,0.52,0.48,0.56,0.52
large,random forest,hyena,Nerve_Tibial,510,no,0.42,0.39,0.5,0.44
large,knn,hyena,Nerve_Tibial,510,no,0.58,0.54,0.61,0.57
large,svm,hyena,Nerve_Tibial,510,no,0.45,0.45,1.0,0.62
small,xgboost,hyena,Nerve_Tibial,1030,no,0.52,0.53,0.62,0.57
small,lightgbm,hyena,Nerve_Tibial,1030,no,0.5,0.51,0.66,0.58
small,random forest,hyena,Nerve_Tibial,1030,no,0.52,0.52,0.74,0.61
small,knn,hyena,Nerve_Tibial,1030,no,0.5,0.5,1.0,0.67
small,svm,hyena,Nerve_Tibial,1030,no,0.52,0.52,0.81,0.63
middle,xgboost,hyena,Nerve_Tibial,1030,no,0.57,0.64,0.57,0.61
middle,lightgbm,hyena,Nerve_Tibial,1030,no,0.48,0.56,0.47,0.51
middle,random forest,hyena,Nerve_Tibial,1030,no,0.46,0.55,0.42,0.47
middle,knn,hyena,Nerve_Tibial,1030,no,0.56,0.61,0.63,0.62
middle,svm,hyena,Nerve_Tibial,1030,no,0.54,0.56,0.92,0.7
large,xgboost,hyena,Nerve_Tibial,1030,no,0.35,0.32,0.38,0.35
large,lightgbm,hyena,Nerve_Tibial,1030,no,0.47,0.43,0.52,0.47
