size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
middle,xgboost,dnabert2,Esophagus_Mucosa,510,yes,0.793,-0.194,0.16
middle,lightgbm,dnabert2,Esophagus_Mucosa,510,yes,0.737,-0.033,0.237
middle,random forest,dnabert2,Esophagus_Mucosa,510,yes,0.681,0.12,0.352
middle,knn,dnabert2,Esophagus_Mucosa,510,yes,0.726,-0.001,0.058
middle,svm,dnabert2,Esophagus_Mucosa,510,yes,0.739,-0.038,0.215
large,xgboost,dnabert2,Esophagus_Mucosa,510,yes,0.785,0.003,0.364
large,lightgbm,dnabert2,Esophagus_Mucosa,510,yes,0.732,0.133,0.444
large,random forest,dnabert2,Esophagus_Mucosa,510,yes,0.73,0.138,0.377
large,knn,dnabert2,Esophagus_Mucosa,510,yes,0.804,-0.045,-0.129
large,svm,dnabert2,Esophagus_Mucosa,510,yes,0.709,0.188,0.449
small,xgboost,dnabert2,Esophagus_Mucosa,1030,yes,0.726,-0.808,0.275
small,lightgbm,dnabert2,Esophagus_Mucosa,1030,yes,0.705,-0.018,0.289
small,random forest,dnabert2,Esophagus_Mucosa,1030,yes,0.69,0.024,0.259
small,knn,dnabert2,Esophagus_Mucosa,1030,yes,0.698,0.002,0.244
small,svm,dnabert2,Esophagus_Mucosa,1030,yes,0.679,0.055,0.293
middle,xgboost,dnabert2,Esophagus_Mucosa,1030,yes,0.699,0.13,0.236
middle,lightgbm,dnabert2,Esophagus_Mucosa,1030,yes,0.624,0.098,0.385
middle,random forest,dnabert2,Esophagus_Mucosa,1030,yes,0.598,0.171,0.418
middle,knn,dnabert2,Esophagus_Mucosa,1030,yes,0.658,-0.003,0.026
middle,svm,dnabert2,Esophagus_Mucosa,1030,yes,0.608,0.146,0.39
large,xgboost,dnabert2,Esophagus_Mucosa,1030,yes,0.704,0.567,0.414
large,lightgbm,dnabert2,Esophagus_Mucosa,1030,yes,0.683,0.113,0.449
large,random forest,dnabert2,Esophagus_Mucosa,1030,yes,0.671,0.141,0.43
large,knn,dnabert2,Esophagus_Mucosa,1030,yes,0.731,-0.017,0.104
large,svm,dnabert2,Esophagus_Mucosa,1030,yes,0.683,0.112,0.43
small,xgboost,dnabert2,Heart_Left_Ventricle,17,no,0.681,-0.153,0.204
small,lightgbm,dnabert2,Heart_Left_Ventricle,17,no,0.708,-0.249,0.666
small,random forest,dnabert2,Heart_Left_Ventricle,17,no,0.664,-0.096,0.013
small,knn,dnabert2,Heart_Left_Ventricle,17,no,0.631,0.007,0.107
small,svm,dnabert2,Heart_Left_Ventricle,17,no,0.646,-0.037,0.124
middle,xgboost,dnabert2,Heart_Left_Ventricle,17,no,0.798,-0.065,0.154
middle,lightgbm,dnabert2,Heart_Left_Ventricle,17,no,0.751,0.057,0.255
middle,random forest,dnabert2,Heart_Left_Ventricle,17,no,0.75,0.006,0.276
middle,knn,dnabert2,Heart_Left_Ventricle,17,no,0.786,-0.034,0.061
middle,svm,dnabert2,Heart_Left_Ventricle,17,no,0.782,-0.024,0.015
large,xgboost,dnabert2,Heart_Left_Ventricle,17,no,0.726,-0.519,0.066
