size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
small,svm,onehot,Heart_Left_Ventricle,510,no,0.57,0.57,1.0,0.73
middle,xgboost,onehot,Heart_Left_Ventricle,510,no,0.33,0.28,0.11,0.16
middle,lightgbm,onehot,Heart_Left_Ventricle,510,no,0.46,0.53,0.41,0.46
middle,random forest,onehot,Heart_Left_Ventricle,510,no,0.53,0.66,0.35,0.46
middle,knn,onehot,Heart_Left_Ventricle,510,no,0.43,0.5,0.05,0.1
middle,svm,onehot,Heart_Left_Ventricle,510,no,0.43,0.0,0.0,0.0
large,xgboost,onehot,Heart_Left_Ventricle,510,no,0.52,0.42,0.56,0.48
large,lightgbm,onehot,Heart_Left_Ventricle,510,no,0.52,0.44,0.68,0.53
large,random forest,onehot,Heart_Left_Ventricle,510,no,0.45,0.41,0.93,0.57
large,knn,onehot,Heart_Left_Ventricle,510,no,0.45,0.42,1.0,0.59
large,svm,onehot,Heart_Left_Ventricle,510,no,0.4,0.4,1.0,0.57
small,xgboost,onehot,Heart_Left_Ventricle,1030,no,0.42,0.5,0.72,0.59
small,lightgbm,onehot,Heart_Left_Ventricle,1030,no,0.31,0.42,0.54,0.48
small,random forest,onehot,Heart_Left_Ventricle,1030,no,0.52,0.57,0.72,0.64
small,knn,onehot,Heart_Left_Ventricle,1030,no,0.57,0.57,1.0,0.73
small,svm,onehot,Heart_Left_Ventricle,1030,no,0.57,0.57,1.0,0.73
middle,xgboost,onehot,Heart_Left_Ventricle,1030,no,0.6,0.72,0.47,0.57
middle,lightgbm,onehot,Heart_Left_Ventricle,1030,no,0.5,0.62,0.29,0.4
middle,random forest,onehot,Heart_Left_Ventricle,1030,no,0.5,0.58,0.41,0.48
middle,knn,onehot,Heart_Left_Ventricle,1030,no,0.43,0.5,0.11,0.19
middle,svm,onehot,Heart_Left_Ventricle,1030,no,0.43,0.0,0.0,0.0
large,xgboost,onehot,Heart_Left_Ventricle,1030,no,0.45,0.36,0.5,0.42
large,lightgbm,onehot,Heart_Left_Ventricle,1030,no,0.55,0.46,0.75,0.57
large,random forest,onehot,Heart_Left_Ventricle,1030,no,0.37,0.37,0.81,0.5
large,knn,onehot,Heart_Left_Ventricle,1030,no,0.4,0.39,0.93,0.55
large,svm,onehot,Heart_Left_Ventricle,1030,no,0.4,0.4,1.0,0.57
small,xgboost,onehot,Nerve_Tibial,17,no,0.43,0.44,0.48,0.46
small,lightgbm,onehot,Nerve_Tibial,17,no,0.45,0.47,0.74,0.57
small,random forest,onehot,Nerve_Tibial,17,no,0.64,0.61,0.77,0.68
small,knn,onehot,Nerve_Tibial,17,no,0.45,0.47,0.66,0.55
small,svm,onehot,Nerve_Tibial,17,no,0.5,0.5,1.0,0.67
middle,xgboost,onehot,Nerve_Tibial,17,no,0.62,0.7,0.57,0.63
