size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc
small,svm,enformer_pca,Esophagus_Mucosa,510,yes,0.77,-0.06,0
middle,xgboost,enformer_pca,Esophagus_Mucosa,510,yes,0.778,-0.248,-0.031
middle,lightgbm,enformer_pca,Esophagus_Mucosa,510,yes,0.753,-0.168,-0.004
middle,random forest,enformer_pca,Esophagus_Mucosa,510,yes,0.699,-0.007,0.183
middle,knn,enformer_pca,Esophagus_Mucosa,510,yes,0.713,-0.046,-0.052
middle,svm,enformer_pca,Esophagus_Mucosa,510,yes,0.695,0.005,0.198
large,xgboost,enformer_pca,Esophagus_Mucosa,510,yes,0.804,0.009,0.279
large,lightgbm,enformer_pca,Esophagus_Mucosa,510,yes,0.775,0.079,0.323
large,random forest,enformer_pca,Esophagus_Mucosa,510,yes,0.73,0.011,0.22
large,knn,enformer_pca,Esophagus_Mucosa,510,yes,0.744,-0.027,-0.087
large,svm,enformer_pca,Esophagus_Mucosa,510,yes,0.71,0.065,0.329
small,xgboost,enformer_pca,Esophagus_Mucosa,1030,yes,0.708,-0.129,0.135
small,lightgbm,enformer_pca,Esophagus_Mucosa,1030,yes,0.718,-0.164,-0.003
small,random forest,enformer_pca,Esophagus_Mucosa,1030,yes,0.713,-0.145,-0.064
small,knn,enformer_pca,Esophagus_Mucosa,1030,yes,0.722,-0.175,-0.226
small,svm,enformer_pca,Esophagus_Mucosa,1030,yes,0.772,-0.345,0
middle,xgboost,enformer_pca,Esophagus_Mucosa,1030,yes,0.777,-0.173,0.134
middle,lightgbm,enformer_pca,Esophagus_Mucosa,1030,yes,0.7,0.046,0.292
middle,random forest,enformer_pca,Esophagus_Mucosa,1030,yes,0.711,0.017,0.191
middle,knn,enformer_pca,Esophagus_Mucosa,1030,yes,0.723,-0.018,0.233
middle,svm,enformer_pca,Esophagus_Mucosa,1030,yes,0.704,0.035,0.232
large,xgboost,enformer_pca,Esophagus_Mucosa,1030,yes,0.773,0.009,0.277
large,lightgbm,enformer_pca,Esophagus_Mucosa,1030,yes,0.739,0.095,0.334
large,random forest,enformer_pca,Esophagus_Mucosa,1030,yes,0.769,-0.01,0.113
large,knn,enformer_pca,Esophagus_Mucosa,1030,yes,0.764,0.002,0.046
large,svm,enformer_pca,Esophagus_Mucosa,1030,yes,0.776,-0.03,0.098
small,xgboost,enformer_pca,Heart_Left_Ventricle,17,no,0.686,-0.172,0.094
small,lightgbm,enformer_pca,Heart_Left_Ventricle,17,no,0.661,-0.086,0.209
small,random forest,enformer_pca,Heart_Left_Ventricle,17,no,0.594,0.121,0.383
small,knn,enformer_pca,Heart_Left_Ventricle,17,no,0.634,-0.002,0.489
small,svm,enformer_pca,Heart_Left_Ventricle,17,no,0.661,-0.089,0
middle,xgboost,enformer_pca,Heart_Left_Ventricle,17,no,0.806,-0.087,0.118
middle,lightgbm,enformer_pca,Heart_Left_Ventricle,17,no,0.868,-0.261,-0.239
middle,random forest,enformer_pca,Heart_Left_Ventricle,17,no,0.788,-0.398,-0.018
middle,knn,enformer_pca,Heart_Left_Ventricle,17,no,0.782,-0.224,-0.251
middle,svm,enformer_pca,Heart_Left_Ventricle,17,no,0.779,-0.016,0
large,xgboost,enformer_pca,Heart_Left_Ventricle,17,no,0.62,-0.108,0.23
large,lightgbm,enformer_pca,Heart_Left_Ventricle,17,no,0.657,-0.24,0.006
large,random forest,enformer_pca,Heart_Left_Ventricle,17,no,0.607,-0.061,0.209
large,knn,enformer_pca,Heart_Left_Ventricle,17,no,0.737,-0.565,-0.06
large,svm,enformer_pca,Heart_Left_Ventricle,17,no,0.618,-0.1,0
small,xgboost,enformer_pca,Heart_Left_Ventricle,510,no,0.633,0.003,0.331
small,lightgbm,enformer_pca,Heart_Left_Ventricle,510,no,0.682,-0.157,0.159
small,random forest,enformer_pca,Heart_Left_Ventricle,510,no,0.62,0.044,0.232
small,knn,enformer_pca,Heart_Left_Ventricle,510,no,0.634,-0.002,0.049
small,svm,enformer_pca,Heart_Left_Ventricle,510,no,0.662,-0.091,0
middle,xgboost,enformer_pca,Heart_Left_Ventricle,510,no,0.831,-0.155,0.009
middle,lightgbm,enformer_pca,Heart_Left_Ventricle,510,no,0.868,-0.261,-0.239
middle,random forest,enformer_pca,Heart_Left_Ventricle,510,no,0.792,-0.049,-0.03
middle,knn,enformer_pca,Heart_Left_Ventricle,510,no,0.778,-0.013,0.087
middle,svm,enformer_pca,Heart_Left_Ventricle,510,no,0.779,-0.016,0
large,xgboost,enformer_pca,Heart_Left_Ventricle,510,no,0.62,-0.108,0.23
large,lightgbm,enformer_pca,Heart_Left_Ventricle,510,no,0.68,-0.334,-0.097
large,random forest,enformer_pca,Heart_Left_Ventricle,510,no,0.625,-0.127,0.123
large,knn,enformer_pca,Heart_Left_Ventricle,510,no,0.737,-0.565,-0.06
large,svm,enformer_pca,Heart_Left_Ventricle,510,no,0.618,-0.101,0
small,xgboost,enformer_pca,Heart_Left_Ventricle,1030,no,0.642,-0.025,0.167
small,lightgbm,enformer_pca,Heart_Left_Ventricle,1030,no,0.661,-0.086,0.209
small,random forest,enformer_pca,Heart_Left_Ventricle,1030,no,0.613,0.066,0.289
small,knn,enformer_pca,Heart_Left_Ventricle,1030,no,0.634,-0.002,0.049
small,svm,enformer_pca,Heart_Left_Ventricle,1030,no,0.661,-0.089,0
middle,xgboost,enformer_pca,Heart_Left_Ventricle,1030,no,0.806,-0.087,0.118
middle,lightgbm,enformer_pca,Heart_Left_Ventricle,1030,no,0.868,-0.261,-0.239
middle,random forest,enformer_pca,Heart_Left_Ventricle,1030,no,0.777,-0.01,0.106
middle,knn,enformer_pca,Heart_Left_Ventricle,1030,no,0.778,-0.013,0.087
middle,svm,enformer_pca,Heart_Left_Ventricle,1030,no,0.779,-0.016,0
large,xgboost,enformer_pca,Heart_Left_Ventricle,1030,no,0.633,-0.154,0.187
large,lightgbm,enformer_pca,Heart_Left_Ventricle,1030,no,0.657,-0.24,0.006
large,random forest,enformer_pca,Heart_Left_Ventricle,1030,no,0.617,-0.098,0.112
large,knn,enformer_pca,Heart_Left_Ventricle,1030,no,0.737,-0.565,-0.06
large,svm,enformer_pca,Heart_Left_Ventricle,1030,no,0.618,-0.101,0
small,xgboost,enformer_pca,Heart_Left_Ventricle,17,yes,0.947,0.029,0.198
small,lightgbm,enformer_pca,Heart_Left_Ventricle,17,yes,0.927,0.0069,0.286
small,random forest,enformer_pca,Heart_Left_Ventricle,17,yes,0.941,0.041,0.23
small,knn,enformer_pca,Heart_Left_Ventricle,17,yes,0.969,-0.016,-0.209
small,svm,enformer_pca,Heart_Left_Ventricle,17,yes,0.98,-0.039,0
middle,xgboost,enformer_pca,Heart_Left_Ventricle,17,yes,0.88,-0.607,-0.194
middle,lightgbm,enformer_pca,Heart_Left_Ventricle,17,yes,0.726,-0.094,0.01
middle,random forest,enformer_pca,Heart_Left_Ventricle,17,yes,0.673,0.06,0.255
middle,knn,enformer_pca,Heart_Left_Ventricle,17,yes,0.698,-0.013,-0.363
middle,svm,enformer_pca,Heart_Left_Ventricle,17,yes,0.697,-0.008,0
large,xgboost,enformer_pca,Heart_Left_Ventricle,17,yes,0.959,-0.185,0.093
large,lightgbm,enformer_pca,Heart_Left_Ventricle,17,yes,0.803,0.169,0.42
large,random forest,enformer_pca,Heart_Left_Ventricle,17,yes,0.78,0.217,0.5
large,knn,enformer_pca,Heart_Left_Ventricle,17,yes,0.919,-0.09,-0.022
large,svm,enformer_pca,Heart_Left_Ventricle,17,yes,0.781,0.213,0.471
small,xgboost,enformer_pca,Heart_Left_Ventricle,510,yes,0.774,-0.11,0.282
small,lightgbm,enformer_pca,Heart_Left_Ventricle,510,yes,0.826,-0.266,-0.118
small,random forest,enformer_pca,Heart_Left_Ventricle,510,yes,0.748,-0.038,0.149
small,knn,enformer_pca,Heart_Left_Ventricle,510,yes,0.747,-0.036,0.126
small,svm,enformer_pca,Heart_Left_Ventricle,510,yes,0.782,-0.134,0
middle,xgboost,enformer_pca,Heart_Left_Ventricle,510,yes,1.043,-0.337,-0.282
middle,lightgbm,enformer_pca,Heart_Left_Ventricle,510,yes,0.887,0.034,0.191
middle,random forest,enformer_pca,Heart_Left_Ventricle,510,yes,0.889,0.03,0.197
middle,knn,enformer_pca,Heart_Left_Ventricle,510,yes,0.9,0.005,0.197
middle,svm,enformer_pca,Heart_Left_Ventricle,510,yes,0.903,-0.001,0
large,xgboost,enformer_pca,Heart_Left_Ventricle,510,yes,0.752,0.179,0.426
large,lightgbm,enformer_pca,Heart_Left_Ventricle,510,yes,0.763,0.153,0.394
large,random forest,enformer_pca,Heart_Left_Ventricle,510,yes,0.761,0.158,0.448
large,knn,enformer_pca,Heart_Left_Ventricle,510,yes,0.906,-0.193,-0.144
large,svm,enformer_pca,Heart_Left_Ventricle,510,yes,0.797,0.076,0.286
small,xgboost,enformer_pca,Heart_Left_Ventricle,1030,yes,0.813,0.005,0.315
small,lightgbm,enformer_pca,Heart_Left_Ventricle,1030,yes,0.947,-0.349,-0.111
small,random forest,enformer_pca,Heart_Left_Ventricle,1030,yes,0.849,-0.085,0.101
small,knn,enformer_pca,Heart_Left_Ventricle,1030,yes,0.867,-0.132,-0.005
small,svm,enformer_pca,Heart_Left_Ventricle,1030,yes,0.829,-0.033,0
middle,xgboost,enformer_pca,Heart_Left_Ventricle,1030,yes,0.748,-0.177,0.091
middle,lightgbm,enformer_pca,Heart_Left_Ventricle,1030,yes,0.774,-0.262,-0.027
middle,random forest,enformer_pca,Heart_Left_Ventricle,1030,yes,0.73,-0.122,-0.029
middle,knn,enformer_pca,Heart_Left_Ventricle,1030,yes,0.699,-0.027,0.282
middle,svm,enformer_pca,Heart_Left_Ventricle,1030,yes,0.678,0.033,0.313
large,xgboost,enformer_pca,Heart_Left_Ventricle,1030,yes,0.802,0.068,0.322
large,lightgbm,enformer_pca,Heart_Left_Ventricle,1030,yes,0.782,0.114,0.375
large,random forest,enformer_pca,Heart_Left_Ventricle,1030,yes,0.743,0.111,0.381
large,knn,enformer_pca,Heart_Left_Ventricle,1030,yes,0.834,-0.119,-0.097
large,svm,enformer_pca,Heart_Left_Ventricle,1030,yes,0.776,0.032,0.183
small,xgboost,enformer_pca,Nerve_Tibial,17,no,0.787,-0.237,0.002
small,lightgbm,enformer_pca,Nerve_Tibial,17,no,0.748,-0.117,-0.083
small,random forest,enformer_pca,Nerve_Tibial,17,no,0.729,-0.06,-0.073
small,knn,enformer_pca,Nerve_Tibial,17,no,0.714,-0.018,0.051
small,svm,enformer_pca,Nerve_Tibial,17,no,0.761,-0.156,0
middle,xgboost,enformer_pca,Nerve_Tibial,17,no,0.926,-0.347,-0.167
middle,lightgbm,enformer_pca,Nerve_Tibial,17,no,0.84,-0.11,-0.09
middle,random forest,enformer_pca,Nerve_Tibial,17,no,0.812,-0.036,0.04
middle,knn,enformer_pca,Nerve_Tibial,17,no,0.805,-0.018,0.122
middle,svm,enformer_pca,Nerve_Tibial,17,no,,,
large,xgboost,enformer_pca,Nerve_Tibial,17,no,,,
large,lightgbm,enformer_pca,Nerve_Tibial,17,no,,,
large,random forest,enformer_pca,Nerve_Tibial,17,no,,,
large,knn,enformer_pca,Nerve_Tibial,17,no,,,
large,svm,enformer_pca,Nerve_Tibial,17,no,,,
small,xgboost,enformer_pca,Nerve_Tibial,510,no,0.788,-0.237,0.002
small,lightgbm,enformer_pca,Nerve_Tibial,510,no,0.741,-0.096,0.061
small,random forest,enformer_pca,Nerve_Tibial,510,no,0.719,-0.033,0.057
small,knn,enformer_pca,Nerve_Tibial,510,no,0.714,-0.018,0.051
small,svm,enformer_pca,Nerve_Tibial,510,no,0.761,-0.156,0
middle,xgboost,enformer_pca,Nerve_Tibial,510,no,0.896,-0.263,0.216
middle,lightgbm,enformer_pca,Nerve_Tibial,510,no,0.84,-0.11,-0.09
middle,random forest,enformer_pca,Nerve_Tibial,510,no,0.814,-0.042,0.013
middle,knn,enformer_pca,Nerve_Tibial,510,no,0.804,-0.016,0.235
middle,svm,enformer_pca,Nerve_Tibial,510,no,0.808,-0.027,0
large,xgboost,enformer_pca,Nerve_Tibial,510,no,0.797,-0.272,0.03
large,lightgbm,enformer_pca,Nerve_Tibial,510,no,0.731,-0.07,0.085
large,random forest,enformer_pca,Nerve_Tibial,510,no,0.709,-0.007,0.124
large,knn,enformer_pca,Nerve_Tibial,510,no,0.775,-0.203,0.034
large,svm,enformer_pca,Nerve_Tibial,510,no,0.712,-0.016,0
