size,model,embedding,tissue,seed,shuffled,acc,precision,recall,f1
large,rnn,dnabert2,Nerve_Tibial,510,no,0.454,0.454,1.0,0.624
small,mlp,dnabert2,Nerve_Tibial,1030,no,0.509,0.545,0.222,0.316
small,cnn,dnabert2,Nerve_Tibial,1030,no,0.491,0.5,0.111,0.182
small,rnn,dnabert2,Nerve_Tibial,1030,no,0.472,0.429,0.111,0.176
middle,mlp,dnabert2,Nerve_Tibial,1030,no,0.576,0.576,1.0,0.731
middle,cnn,dnabert2,Nerve_Tibial,1030,no,0.576,0.576,1.0,0.731
middle,rnn,dnabert2,Nerve_Tibial,1030,no,0.545,0.562,0.947,0.706
large,mlp,dnabert2,Nerve_Tibial,1030,no,0.515,0.481,0.841,0.612
large,cnn,dnabert2,Nerve_Tibial,1030,no,0.454,0.454,1.0,0.624
large,rnn,dnabert2,Nerve_Tibial,1030,no,0.454,0.454,1.0,0.624
small,mlp,dnabert2,Esophagus_Mucosa,17,yes,0.558,0.0,0.0,0.0
small,cnn,dnabert2,Esophagus_Mucosa,17,yes,0.558,0.0,0.0,0.0
small,rnn,dnabert2,Esophagus_Mucosa,17,yes,0.488,0.459,0.895,0.607
middle,mlp,dnabert2,Esophagus_Mucosa,17,yes,0.577,0.58,0.967,0.725
middle,cnn,dnabert2,Esophagus_Mucosa,17,yes,0.423,0.0,0.0,0.0
middle,rnn,dnabert2,Esophagus_Mucosa,17,yes,0.577,0.577,1.0,0.732
large,mlp,dnabert2,Esophagus_Mucosa,17,yes,0.556,0.593,0.696,0.64
large,cnn,dnabert2,Esophagus_Mucosa,17,yes,0.469,0.588,0.217,0.317
large,rnn,dnabert2,Esophagus_Mucosa,17,yes,0.457,1.0,0.043,0.083
small,mlp,dnabert2,Esophagus_Mucosa,510,yes,0.512,0.0,0.0,0.0
small,cnn,dnabert2,Esophagus_Mucosa,510,yes,0.488,0.488,1.0,0.656
small,rnn,dnabert2,Esophagus_Mucosa,510,yes,0.512,0.5,0.714,0.588
middle,mlp,dnabert2,Esophagus_Mucosa,510,yes,0.481,0.524,0.393,0.449
middle,cnn,dnabert2,Esophagus_Mucosa,510,yes,0.481,0.529,0.321,0.4
middle,rnn,dnabert2,Esophagus_Mucosa,510,yes,0.615,0.654,0.607,0.63
large,mlp,dnabert2,Esophagus_Mucosa,510,yes,0.457,0.5,0.205,0.29
large,cnn,dnabert2,Esophagus_Mucosa,510,yes,0.519,0.54,0.773,0.636
large,rnn,dnabert2,Esophagus_Mucosa,510,yes,0.531,0.583,0.477,0.525
small,mlp,dnabert2,Esophagus_Mucosa,1030,yes,0.349,0.375,0.25,0.3
small,cnn,dnabert2,Esophagus_Mucosa,1030,yes,0.442,0.0,0.0,0.0
small,rnn,dnabert2,Esophagus_Mucosa,1030,yes,0.442,0.5,0.417,0.455
middle,mlp,dnabert2,Esophagus_Mucosa,1030,yes,0.577,0.611,0.733,0.667
